#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03248300 LICKING RIVER BELOW MASON FORK NR SALYERSVILLE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03248300	1	2001-10-03 12:10:00	EDT	Yes	SBP	USGS	4.75	4.88				Good	-0.01	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.88	31.0	13.5	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	2	2001-11-16 08:25:00	EST	Yes	SBP	USGS	4.88	4.63				Fair				MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.63	31.0	16.7	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	3	2002-01-17 10:55:00	EST	Yes	SBP	USGS	5.30	24.3				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.3	33.0	34.4	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	4	2002-01-23 12:15:00	EST	Yes	SBP	USGS	7.25	179				Fair	0.06	0.50	Submerged	MEAS	1	Imported Channel 1	WADE	unspe	unkno	179	46.0	136	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	5	2002-01-24 11:50:00	EST	Yes	SBP	USGS	9.41	464				Fair	0.17	0.80	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	464	69.0	522	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	6	2002-03-12 10:00:00	EST	Yes	SBP/JFH	USGS	5.50	30.8				Good	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.8	36.0	40.0	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	7	2002-03-20 15:45:00	EST	Yes	SBP	USGS	13.66	1790				Fair	0.08	0.70	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1790	205	1130	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	8	2002-05-09 08:50:00	EDT	Yes	SBP	USGS	8.48	426				Fair	-0.03	0.60	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	426	72.0	423	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248300	9	2002-06-27 12:20:00	EDT	Yes	SBP	USGS	5.02	14.9				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.9	39.0	39.8	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
