#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03248500 LICKING RIVER NEAR SALYERSVILLE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03248500	1	1939-01-08 09:25:00	EST	Yes	RWP	USGS	6.92	125				Excellent	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	125	53.0	76.5	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	2	1939-01-21 10:45:00	EST	Yes	U.S/E.D	USGS	7.70	252				Good	-0.03	1.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	252	58.0	144	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	3	1939-01-29 14:00:00	EST	Yes	U.S/E.D	USGS	14.34	1120				Fair	1.71	1.50	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1120	50.0	415	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	4	1939-01-30 08:15:00	EST	Yes	U.S/E.D	USGS	17.79	2350				Good	-0.13	1.90	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2350	98.0	1020	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	5	1939-02-03 08:45:00	EST	Yes	U.S/E.D	USGS	21.44	7370				Fair	1.09	0.90	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7370	115	1500	2.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	6	1939-02-03 11:00:00	EST	Yes	U.S/E.D	USGS	23.15	10200				Fair	0.29	0.70	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10200	100	1760	5.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	7	1939-02-03 14:15:00	EST	Yes	U.S/E.D	USGS	24.05	12000				Poor	0.15	0.60	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12000	185	2120	5.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	8	1939-02-04 09:10:00	EST	Yes	U.S/E.D	USGS	20.73	5430				Poor	-0.35	1.10	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5430	105	1760	3.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	9	1939-02-04 20:00:00	EST	Yes	U.S/E.D	USGS	19.34	3640				Poor	-0.25	1.00	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3640	105	1590	2.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	10	1939-02-05 10:15:00	EST	Yes	U.S/E.D	USGS	13.00	739				Fair	-0.24	0.90	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	739	45.0	626	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03248500	11	1939-02-10 09:45:00	EST	Yes	U.S/E.D	USGS	12.83	690				Poor	-0.19	0.80	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	690	30.0	405	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
