#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:36 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03251500 LICKING RIVER AT MCKINNEYSBURG, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03251500	1	1924-07-23 13:30:00	EDT	Yes	Las/Lee	USGS	2.07	290				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	290	156	415	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	2	1924-08-18 16:10:00	EDT	Yes	WPH	USGS	1.50	67.0				Good	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	67.0	73.6	61.4	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	3	1924-09-16 13:15:00	EDT	Yes	WPA	USGS	1.66	107				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	107	76.0	126	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	4	1924-10-30 10:10:00	EST	Yes	ERD	USGS	1.64	109				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	109	79.0	125	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	5	1925-03-20 11:32:00	EST	Yes	ERD	USGS	15.43	13700				Good	0.22	2.20	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13700	290	3840	3.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	6	1925-03-25 11:18:00	EST	Yes	ERD	USGS	5.72	2930				Good	-0.06	1.40	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2930	228	1090	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	7	1925-06-23 10:22:00	EDT	Yes	ERD	USGS	1.67	123				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	123	80.0	132	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	8	1925-09-28 13:45:00	EST	Yes	ERD	USGS	1.18	19.3				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.3	34.9	23.6	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	9	1925-11-30 13:57:00	EST	Yes	ERD	USGS	11.43	8790				Good	-0.35	2.40	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8790	266	2620	3.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	10	1926-04-05 10:55:00	EST	Yes	ERD	USGS	4.00	1500				Good	-0.01	2.20	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1500	99.5	378	3.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	11	1926-05-10 12:07:00	EDT	Yes	ERD	USGS	3.67	1270				Good	0.02	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1270	122	466	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	12	1926-07-26 15:15:00	EDT	Yes	ERD	USGS	1.53	79.0				Fair	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.0	66.2	111	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	13	1938-04-26 17:20:00	EDT	Yes	U.S/E.D	USGS	8.91	2800				Poor	-0.03	0.90	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2800	141	676	4.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03251500	14	1938-04-27 10:00:00	EDT	Yes	U.S/E.D	USGS	8.11	2240				Unspecified	-0.02	1.20	Submerged	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2240	120	531	4.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
