#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:48 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09383400 LITTLE COLORADO RIVER AT GREER, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09383400	193	1969-08-30 12:00:00	MST	Yes	Nelson	USGS	2.55	60.5				UNSP			UNSP	UNSP	1		UNSP			60.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	235	1972-10-23 12:00:00	MST	Yes	seb	USGS	5.65	615.0	 6.0			UNSP				MEAS	1	Unspecified	UNSP			615.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	241	1973-04-11 12:00:00	MST	Yes	EG	USGS	1.33	43.1				UNSP			UNSP	UNSP	1		UNSP			43.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	242	1973-04-18 12:00:00	MST	Yes	RHEG	USGS	2.14	103				UNSP			UNSP	UNSP	1		UNSP			103				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	243	1973-04-19 12:00:00	MST	Yes	RH	USGS	1.92	72.6				UNSP			UNSP	UNSP	1		UNSP			72.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	244	1973-04-26 12:00:00	MST	Yes	EG	USGS	2.31	149				UNSP			UNSP	UNSP	1		UNSP			149				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	245	1973-07-17		Yes	SEB	USGS	1.64	40.6				UNSP			UNSP	UNSP	1		UNSP			40.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	265	1975-05-15 12:00:00	MST	Yes	EG	USGS	1.86	66.9				UNSP			UNSP	UNSP	1		UNSP			66.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	267	1975-06-19 12:00:00	MST	Yes	EG	USGS	1.32	43.3				UNSP			UNSP	UNSP	1		UNSP			43.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	270	1976-09-09		Yes	Peterson	USGS	1.32	42.1				UNSP			UNSP	UNSP	1		UNSP			42.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	318	1978-04-24 12:00:00	MST	Yes	eg	USGS	3.22	155.0	 6.0			UNSP				UNSP	1	Unspecified	UNSP			155.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	319	1978-05-10 12:00:00	MST	Yes	mt	USGS	2.52	104.0				UNSP				UNSP	1	Unspecified	UNSP			104.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	328	1980-04-28 12:00:00	MST	Yes	E G	USGS	2.35	106				UNSP			UNSP	UNSP	1		UNSP			106				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	329	1980-06-04 12:00:00	MST	Yes	EG	USGS	1.93	48.1				UNSP			UNSP	UNSP	1		UNSP			48.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	354	1981-06-23		Yes	miw	USGS	1.60	37.9				UNSP				MEAS	1	Unspecified	UNSP			37.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	381	1986-10-08		Yes	MIW/JPS	USGS	1.12	3.81	 6.0	0.00		FAIR	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		3.81	6.00	2.40	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	382	1986-11-20		Yes	KMS	USGS	1.76	43.4	 6.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.4	15.7	18.9	2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09383400	383	1986-12-17		Yes	JPS/JJR	USGS	1.19	4.78	 6.0	-0.020		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		4.78	5.60	2.91	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
