#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:57 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09394500 LITTLE COLORADO RIVER AT WOODRUFF, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09394500	456	1983-10-13		Yes	MIW	USGS	5.86	91.0	 5.0	-0.010		FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		91.0	32.0	40.7	2.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	457	1983-11-30		Yes	MIW	USGS	5.47	32.1	 5.0	-0.080		GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.1	29.0	28.7	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	458	1984-01-30		Yes	DJB	USGS	5.55	49.3	 5.0	0.00		GOOD			SICE	MEAS	1	Unspecified	WADE	QUNSP		49.3	30.0	32.4	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	459	1984-02-29		Yes	DJB	USGS	5.22	15.3	 5.0	-0.050		FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.3	25.0	22.8	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	460	1984-03-29		Yes	DJB	USGS	5.55	41.6	 5.0	-0.060		GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		41.6	31.0	24.2	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	461	1984-05-02		Yes	DJB	USGS	5.14	6.80	 5.0	-0.130		GOOD	0.01	0.42	CLER	UNSP	1	Unspecified	WADE	QUNSP		6.80	14.0	6.88	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	462	1984-05-30		Yes	DJB	USGS	5.03	3.37	 5.0	-0.150		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.37	10.0	4.76	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	463	1984-08-06		Yes	MIW	USGS	5.56	42.2	 5.0	-0.070		FAIR	-0.01	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		42.2	29.0	29.8	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09394500	464	1984-08-28		Yes	MIW	USGS	6.35	183.0	 5.0	0.00		FAIR	-0.02	0.50		MEAS	1	Unspecified	WADE	QUNSP		183.0	47.0	64.2	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
