#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:40:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09397300 LITTLE COLORADO RIVER NEAR JOSEPH CITY, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09397300	65	1984-09-28		Yes	KMS	USGS	3.98	1800	 4.0	0.00	-2.30	UNSP	-0.07			MEAS	1	Unspecified	CWAY	QUNSP		1800		365	4.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	66	1985-02-27		Yes	KMS	USGS	2.98	238.0	 4.0	0.060	1.30	GOOD	0.00	0.70	MDDB	MEAS	1	Unspecified	WADE	QUNSP		238.0	107	92.4	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	67	1985-03-13		Yes	KMS/JMK	USGS	4.10	2070	 4.0	0.010	-3.30	FAIR	-0.04	0.90	MDDB	MEAS	1	Unspecified	CWAY	QUNSP		2070	210	344	6.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	68	1985-03-14		Yes	KMS	USGS	3.33	862.0	 4.0	0.170	0.500	FAIR	-0.02	0.80	MDDB	MEAS	1	Unspecified	CWAY	QUNSP		862.0	171	203	4.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	69	1985-09-19		Yes	KMS	USGS	3.07	549.0	 4.0	0.230	0.900	FAIR	-0.10	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		549.0	197	170	3.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	70	1985-09-20		Yes	KMS	USGS	5.23	4790	 4.0	0.00	-2.70	FAIR	-0.35	1.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		4790	216	608	7.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	70A	1985-10-31 13:30:00	MST	Yes	KMS	USGS	2.18			0.00		UNSP				UNSP																	
USGS	09397300	70B	1985-12-06 15:30:00	MST	Yes	KMS	USGS	1.28			0.00		UNSP				UNSP																	
USGS	09397300	71	1986-02-14		Yes	KMS/JPS	USGS	2.84	200.0	 4.0	0.160		FAIR	-0.03	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		200.0	92.0	102	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	71A	1986-03-21 17:25:00	MST	Yes	KMS	USGS	2.68			0.00		UNSP				UNSP																	
USGS	09397300	71B	1986-06-20 14:00:00	MST	Yes	KMS	USGS				0.00		UNSP				UNSP																	
USGS	09397300	71C	1986-07-08 09:35:00	MST	Yes	KMS/DJB	USGS				0.00		UNSP				UNSP																	
USGS	09397300	72	1986-07-18 11:05:00	MST	Yes	KMS	USGS	3.00	261.0	 4.0	0.070	-1.10	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		261.0	108	100	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	73	1986-07-21 12:20:00	MST	Yes	KMS/JPS	USGS	3.27	852.0	 4.0	0.230	-0.700	GOOD	-0.08	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		852.0	185	222	3.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	74	1986-07-22 10:20:00	MST	Yes	KMS/JPS	USGS	3.70	1630	 4.0	0.180	0.400	FAIR	-0.17	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1630	202	306	5.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	74A	1986-09-05 17:00:00	MST	Yes	KMS	USGS				0.00		UNSP				UNSP																	
USGS	09397300	74B	1986-09-24 16:30:00	MST	Yes	KMS	USGS	4.00			0.00		UNSP				UNSP																	
USGS	09397300	74C	1986-10-09 10:30:00	MST	Yes	KMS	USGS	2.22		 4.0	0.00		UNSP				UNSP																	
USGS	09397300	75	1986-11-04 12:20:00	MST	Yes	KMS	USGS	3.78	1770	 4.0	0.170	-0.500	FAIR	-0.15	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1770	199	323	5.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	75A	1987-01-13 12:15:00	MST	Yes	KMS	USGS	2.29		 4.0	0.00		UNSP			CLER	UNSP																	
USGS	09397300	75B	1987-03-06		Yes	KMS	USGS	2.00		 4.0	0.00		UNSP			CLER	UNSP																	
USGS	09397300	76	1987-03-10 13:40:00	MST	Yes	KMS	USGS	3.17	618.0	 4.0	0.180	0.700	GOOD	0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		618.0	190	178	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	77	1987-03-11 10:10:00	MST	Yes	KMS	USGS	3.39	690.0	 4.0	0.010		GOOD	0.02	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		690.0	200	193	3.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09397300	78	1987-03-11 17:25:00	MST	Yes	KMS	USGS	3.21	484.0	 4.0	0.030	3.60	GOOD	-0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		484.0	108	140	3.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
