#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:10 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 073274458 Little Washita River Tributary near Cement, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	073274458	1	1995-06-19 13:13:00	CDT	Yes	RDG	USGS	4.85	2.05				Fair	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.05	11.5	3.65	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	2	1995-08-18 14:08:00	CDT	Yes	RDG	USGS	4.47	1.63				Poor	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.63	6.00	1.80	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	3	1995-10-02 15:29:00	CDT	Yes	RDG	USGS	6.74	45.1				Fair	-0.13	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	45.1	19.0	32.7	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	4	1995-12-08 13:42:00	CST	Yes	RDG	USGS	4.97	1.89				Fair	0.00	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.89	12.0	6.29	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	5	1996-02-12 15:43:00	CST	Yes	RDG	USGS	4.82	1.84				Poor	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.84	8.50	3.56	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	6	1996-04-08 15:06:00	CDT	Yes	RDG	USGS	4.58	1.79				Poor	0.00	0.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.79	8.00	2.64	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7	1996-06-05 15:06:00	CDT	Yes	RDG	USGS	4.78	2.42				Poor	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.42	10.0	3.96	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7D	1996-07-12		Yes	DLA	USGS	10.73	800				Poor				UNSP	1	Imported Channel 1	OTHR	other		800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7I	1996-07-12		Yes	DLA	USGS	12.03	1300				Poor				UNSP	1	Imported Channel 1	OTHR	other		1300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7N	1996-07-12		Yes	DLA	USGS	14.10	2600				Poor				UNSP	1	Imported Channel 1	OTHR	other		2600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7B	1996-07-12		Yes	DLA	USGS	10.05	600				Poor				UNSP	1	Imported Channel 1	OTHR	other		600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7G	1996-07-12		Yes	DLA	USGS	11.58	1100				Poor				UNSP	1	Imported Channel 1	OTHR	other		1100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7L	1996-07-12		Yes	DLA	USGS	13.26	2000				Poor				UNSP	1	Imported Channel 1	OTHR	other		2000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7Q	1996-07-12		Yes	DLA	USGS	15.30	3600				Poor				UNSP	1	Imported Channel 1	OTHR	other		3600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7E	1996-07-12		Yes	DLA	USGS	11.03	900				Poor				UNSP	1	Imported Channel 1	OTHR	other		900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7J	1996-07-12		Yes	DLA	USGS	12.24	1400				Poor				UNSP	1	Imported Channel 1	OTHR	other		1400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	073274458	7O	1996-07-12		Yes	DLA	USGS	14.48	2900				Poor				UNSP	1	Imported Channel 1	OTHR	other		2900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
