#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:11 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07327447 Little Washita River near Cement, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07327447	1	1991-12-20 17:25:00	CST	Yes	STS/JEN	USGS	11.65	716				Fair	0.09	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	716	40.0	192	3.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	2	1992-02-21 09:35:00	CST	Yes	DLA	USGS	4.75	22.7				Good	0.00	0.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.7	18.6	21.3	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	3	1992-02-24 14:48:00	CST	Yes	DLA	USGS	5.50	70.2				Good	0.05	0.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	70.2	19.5	36.8	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	4	1992-03-19 10:30:00	CST	Yes	DLA	USGS	4.50	24.4				Good	-0.01	0.50	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.4	18.7	19.3	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	5	1992-04-17 09:15:00	CDT	Yes	DLA	USGS	10.13	662				Poor	-0.18	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	662	38.0	190	3.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	6	1992-04-17 11:00:00	CDT	Yes	DLA	USGS	9.53	544				Poor	-0.31	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	544	37.0	172	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	7	1992-05-11 13:15:00	CDT	Yes	DLA	USGS	6.61	215				Poor	-0.26	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	215	26.0	75.7	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	8	1992-06-30 10:15:00	CDT	Yes	DLA	USGS	5.22	72.6				Fair	0.01	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	72.6	20.0	37.5	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	9	1992-08-14 08:45:00	CDT	Yes	DLA	USGS	4.76	35.3				Fair	0.01	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	35.3	18.4	22.2	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	10	1992-10-15 11:00:00	CDT	Yes	DLA	USGS	4.50	19.4				Fair	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.4	23.0	16.2	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	11	1992-12-08 14:25:00	CST	Yes	DLA	USGS	4.63	33.0				Fair	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.0	18.3	24.0	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	12	1993-02-02 10:30:00	CST	Yes	DLA	USGS	4.82	42.7				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.7	24.9	28.2	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	13	1993-04-08 09:40:00	CDT	Yes	DLA	USGS	4.92	50.8				Fair	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.8	20.2	29.6	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	14	1993-06-01 10:45:00	CDT	Yes	DLA	USGS	4.72	42.1				Poor	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.1	18.1	29.4	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	15	1993-07-26 12:15:00	CDT	Yes	DLA	USGS	4.19	15.3				Fair	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.3	15.3	10.9	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	16	1993-10-04 13:00:00	CDT	Yes	DLA	USGS	4.03	11.4				Fair	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.4	16.4	9.14	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	17	1993-12-07 09:35:00	CST	Yes	DLA	USGS	4.23	16.7				Fair	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.7	16.9	12.7	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	18	1994-01-27 14:00:00	CST	Yes	DLA	USGS	4.25	14.7				Poor	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.7	18.2	12.2	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	19	1994-03-31 10:08:00	CST	Yes	DLA	USGS	4.33	20.6				Fair	0.00	0.80	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.6	16.2	15.0	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	20	1994-06-02 09:20:00	CDT	Yes	DLA	USGS	4.02	14.1				Poor	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.1	17.1	10.7	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	21	1994-07-25 09:55:00	CDT	Yes	DLA	USGS	3.70	7.84				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.84	16.4	7.11	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	22	1994-10-03 09:10:00	CDT	Yes	DLA	USGS	3.65	3.89				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.89	15.9	5.21	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	23	1994-12-14 14:34:00	CST	Yes	RDG	USGS	4.07	19.3				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.3	17.0	15.3	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	24	1995-02-06 14:50:00	CST	Yes	RDG	USGS	4.00	14.3				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.3	16.0	12.5	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	25	1995-04-05 10:50:00	CDT	Yes	RDG	USGS	4.13	20.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.0	16.0	14.7	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	26	1995-06-19 15:29:00	CDT	Yes	RDG	USGS	4.34	30.5				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.5	17.0	20.7	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07327447	27	1995-08-15 13:29:00	CDT	Yes	RDG	USGS	4.06	16.4				Fair	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.4	18.0	13.2	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
