#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13127000 BIG LOST RIVER BL MACKAY RES NR MACKAY ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13127000	472	1970-08-12 13:55:00	MDT	Yes	MLJ	USGS	3.11	689				Fair	0.00	0.90	DebrisLight	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	689	83.0	217	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	473	1970-09-16 16:35:00	MDT	Yes	MLJ	USGS	2.07	187				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	187	87.0	122	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	474	1970-10-14 15:50:00	MDT	Yes	MLJ	USGS	2.14	206				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	206	88.0	128	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	475	1970-11-19 14:35:00	MST	Yes	MLJ	USGS	1.70	94.2				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.2	79.0	91.3	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	476	1970-12-18 09:20:00	MST	Yes	MLJ	USGS	1.80	119				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	119	82.0	95.0	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	477	1971-01-14 09:45:00	MST	Yes	WAH/MLJ	USGS	1.87	124				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	124	84.0	89.0	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	478	1971-02-20 15:15:00	MST	Yes	RWL	USGS	1.92	133				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	133	84.0	85.6	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	479	1971-03-26 11:10:00	MST	Yes	RWL	USGS	1.92	132				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	132	91.0	97.0	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	480	1971-05-03 14:40:00	MDT	Yes	RWL	USGS	2.59	380				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	380	88.0	123	3.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	481	1971-05-21 12:00:00	MDT	Yes	RAS	USGS	3.38	886				Good	-0.05	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	886	85.0	526	4.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	482	1971-06-25 15:15:00	MDT	Yes	RAS	USGS	5.23	2130				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2130	100	429	4.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	483	1971-07-30 13:00:00	MDT	Yes	RAS	USGS	3.54	967				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	967	85.0	260	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	484	1971-09-03 09:50:00	MDT	Yes	LJK	USGS	2.35	285				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	285	94.0	135	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	485	1971-10-06 14:10:00	MDT	Yes	LJK	USGS	2.23	231				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	231	90.0	123	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	486	1971-11-10 12:20:00	MST	Yes	LJK	USGS	2.16	165				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	165	90.0	102	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	487	1971-12-15 15:25:00	MST	Yes	LJK	USGS	1.98	165				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	165	56.0	48.2	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	488	1972-01-25 16:15:00	MST	Yes	LJK	USGS	1.97	179				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	179	76.0	120	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	489	1972-02-29 10:30:00	MST	Yes	LJK	USGS	2.04	193				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	95.0	122	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	490	1972-04-05 12:00:00	MST	Yes	LJK	USGS	2.01	176				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	176	84.0	108	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13127000	491	1972-05-27 11:40:00	MDT	Yes	RWL	USGS	3.01	662				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	662	85.0	219	3.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
