#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:33 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06775500 Middle Loup River at Dunning, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06775500	1	1945-09-13		Yes	Zellars	USGS	3.54	337				UNSP			UNSP	UNSP	1		WADE	QSCMM	VPAA	337	74.5	132	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	2	1945-09-20		Yes	Hartley	USGS	3.60	356				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	356	74.0	131	2.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	3	1945-09-27		Yes	Zellars	USGS	3.84	462				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	462	54.5	177	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	4	1945-10-03		Yes	Zellars	USGS	3.56	354				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	354	75.0	142	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	5	1945-10-10		Yes	Zellars	USGS	3.56	375				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	375	74.0	133	2.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	6	1945-10-16		Yes	Zellars	USGS	3.63	370				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	370	74.0	150	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	7	1945-10-23		Yes	Zellars	USGS	3.41	368				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	368	74.0	135	2.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	8	1945-10-31		Yes	Zellars	USGS	3.60	398				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	398	73.0	135	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	9	1945-11-07		Yes	Zellars	USGS	3.59	405				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	405	71.0	132	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	10	1945-11-14		Yes	Zellars	USGS	3.47	363				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	363	55.0	119	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	11	1945-11-21		Yes	Zellars	USGS	3.49	387				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	387	54.0	138	2.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	12	1945-11-28		Yes	Zellars	USGS	3.56	381				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	381	54.0	128	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	13	1945-12-05		Yes	Zellars	USGS	3.44	386				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	386	54.0	111	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	14	1945-12-12		Yes	Zellars	USGS	3.60	347				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	347	52.0	163	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	15	1946-01-03		Yes	Zellars	USGS	5.32	425				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	425	61.0	202	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	16	1946-01-21		Yes	Zellars	USGS	3.72	411				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	411	56.0	121	3.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	17	1946-01-29		Yes	Zellars	USGS	3.82	391				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	391	55.0	146	2.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	18	1946-02-04		Yes	Carstens	USGS	5.55	472				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	472	64.0	264	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	19	1946-02-13		Yes	Zellars	USGS	5.84	466				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	466	65.0	296	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	20	1946-02-19		Yes	Zellars	USGS	3.72	394				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	394	56.0	146	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	21	1946-02-26		Yes	Zellars	USGS	3.60	419				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	419	55.5	125	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	22	1946-03-04		Yes	Carstens	USGS	3.75	391				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	391	55.0	136	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	23	1946-03-11		Yes	Zellars	USGS	3.81	419				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	419	55.5	142	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	24	1946-03-19		Yes	Carstens	USGS	3.57	424				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	424	62.0	110	3.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	25	1946-03-26		Yes	Zellars	USGS	3.82	479				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	479	65.0	156	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	26	1946-04-01		Yes	Carstens	USGS	3.84	426				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	426	63.0	124	3.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	27	1946-04-08		Yes	Zellars	USGS	3.75	418				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	418	64.0	151	2.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	28	1946-04-15		Yes	Carstens	USGS	3.74	378				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	378	62.0	132	2.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	29	1946-04-22		Yes	Zellars	USGS	3.83	386				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	386	65.0	132	2.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	30	1946-04-30		Yes	Zellars	USGS	3.70	361				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	361	64.0	138	2.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	31	1946-05-06		Yes	Carstens	USGS	3.76	414				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	414	64.0	153	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	32	1946-05-14		Yes	Nelson	USGS	3.72	351				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	351	61.0	129	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	33	1946-05-22		Yes	Zellars	USGS	3.76	376				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	376	64.0	145	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	34	1946-05-28		Yes	Nelson	USGS	3.72	333				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	333	73.0	150	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	35	1946-06-03		Yes	Zellars	USGS	3.66	322				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	322	64.0	122	2.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	36	1946-06-11		Yes	Nelson	USGS	3.66	322				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	322	74.0	139	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	37	1946-06-17		Yes	Carstens	USGS	3.77	350				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	350	64.0	139	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	38	1946-06-25		Yes	Nelson	USGS	3.64	334				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	334	64.0	128	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	39	1946-07-01		Yes	Zellars	USGS	3.66	304				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	304	64.0	138	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	40	1946-07-09		Yes	Nelson	USGS	3.70	323				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	323	64.0	148	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	41	1946-07-16		Yes	Carstens	USGS	3.71	323				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	323	62.0	143	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	42	1946-07-23		Yes	Nelson	USGS	3.66	332				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	332	63.0	150	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	43	1946-07-29		Yes	Zellars	USGS	3.67	322				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	322	63.5	133	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06775500	44	1946-08-06		Yes	Nelson	USGS	3.76	350				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	350	63.0	139	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
