#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06785500 North Loup River at Brewster, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06785500	1	1945-09-14		Yes	Zellars	USGS	2.24	275				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	275			1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	2	1945-09-20		Yes	Hartley	USGS	2.27	335				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	335			2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	3	1945-09-27		Yes	Zellars	USGS	2.31	332				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	332			2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	4	1945-10-03		Yes	Zellars	USGS	2.30	351				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	351			2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	5	1945-10-10		Yes	do	USGS	2.27	351				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	351			2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	6	1945-10-16		Yes	do	USGS	2.28	333				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	333			2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	7	1945-10-23		Yes	do	USGS	2.30	327				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	327			2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	8	1945-10-31		Yes	do	USGS	2.29	343				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	343			2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	9	1945-11-07		Yes	do	USGS	2.29	341				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	341			2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	10	1945-11-14		Yes	do	USGS	2.28	336				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	336			2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	11	1945-11-21		Yes	do	USGS	2.22	373				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	373			2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	12	1945-11-28		Yes	do	USGS	2.18	330				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	330			2.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	13	1945-12-05		Yes	do	USGS	2.34	389				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	389			2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	14	1945-12-12		Yes	do	USGS	2.28	186				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	186			1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	15	1945-12-21		Yes	Hungate	USGS	3.16	326				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	326			1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	16	1946-01-03		Yes	Zellars	USGS	3.28	444				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	444			1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	17	1946-01-08		Yes	do	USGS	2.98	420				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	420			1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	18	1946-01-15		Yes	do	USGS	3.10	362				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	362			1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	19	1946-01-21		Yes	do	USGS	2.57	285				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	285			1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	20	1946-01-29		Yes	do	USGS	2.71	333				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	333			1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	21	1946-02-04		Yes	carstens	USGS	3.01	391				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	391			2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	22	1946-02-13		Yes	Zellars	USGS	2.85	344				UNSP			SICE	UNSP	1		UNSP	QSCMM	VELC	344				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	23	1946-02-19		Yes	Zellars	USGS	2.40	469				UNSP			CLER	UNSP	1		UNSP	QSCMM	VELC	469			2.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	24	1946-02-26		Yes	do	USGS	2.20	435				UNSP			CLER	UNSP	1		UNSP	QSCMM	VELC	435			2.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	25	1946-03-04		Yes	Carstens	USGS	2.20	401				UNSP			CLER	UNSP	1		UNSP	QSCMM	VELC	401			2.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	26	1946-03-11		Yes	Zellars	USGS	2.20	402				UNSP			CLER	UNSP	1		UNSP	QSCMM	VELC	402			2.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06785500	27	1946-03-19		Yes	Carstens	USGS	2.23	526				UNSP			CLER	UNSP	1		UNSP	QSCMM	VELC	526			2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
