#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06786000 North Loup River at Taylor, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06786000	1A	1936-11-26		Yes	RA	USGS	4.04	400				UNSP	0.14		UNSP	UNSP	1		UNSP			400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	2A	1936-12-08		Yes	CBH	USGS	5.36	332				UNSP	0.00		UNSP	UNSP	1		UNSP			332				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	3A	1936-12-17		Yes	RHA	USGS	5.06	595				UNSP	0.00		UNSP	UNSP	1		UNSP			595				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	4A	1936-12-23		Yes	RHA	USGS	4.24	461				UNSP	0.00		UNSP	UNSP	1		UNSP			461				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	5A	1937-01-08		Yes	RHA	USGS	5.36	309				UNSP	0.00		UNSP	UNSP	1		UNSP			309				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	6A	1937-01-14		Yes	RHA	USGS	5.46	360				UNSP	0.00		UNSP	UNSP	1		UNSP			360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	7A	1937-01-22		Yes	RHA	USGS	5.50	367				UNSP	0.00		UNSP	UNSP	1		UNSP			367				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	8A	1937-01-29		Yes	RHA	USGS	5.69	374				UNSP	0.00		UNSP	UNSP	1		UNSP			374				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	9A	1937-02-05		Yes	RHA	USGS	5.71	378				UNSP	0.00		UNSP	UNSP	1		UNSP			378				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	10A	1937-02-12		Yes	RHA	USGS	5.88	404				UNSP	0.00		UNSP	UNSP	1		UNSP			404				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	11A	1937-02-19		Yes	RHA	USGS	6.28	608				UNSP	0.00		UNSP	UNSP	1		UNSP			608				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	12A	1937-02-27		Yes	RHA	USGS	5.58	452				UNSP	0.00		UNSP	UNSP	1		UNSP			452				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	13A	1937-03-06		Yes	RHA	USGS	5.23	754				UNSP	0.00		UNSP	UNSP	1		UNSP			754				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	14A	1937-03-11		Yes	LRS	USGS	4.22	531				UNSP	0.00		UNSP	UNSP	1		UNSP			531				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	15A	1937-03-18		Yes	RHA	USGS	4.15	443				UNSP	0.07		UNSP	UNSP	1		UNSP			443				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	16A	1937-03-26		Yes	RHA	USGS	4.06	414				UNSP	0.13		UNSP	UNSP	1		UNSP			414				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06786000	17A	1937-04-01		Yes	RHA	USGS	4.25	449				UNSP	0.02		UNSP	UNSP	1		UNSP			449				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
