#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06788500 NORTH LOUP RIVER AT ORD, NE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06788500	1	1950-04-22		Yes	Neill	USGS	2.24	1060				UNSP	0.00		UNSP	UNSP	1		UNSP			1060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	2	1950-04-24		Yes	EDN	USGS	2.28	937				UNSP	0.00		UNSP	UNSP	1		UNSP			937				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	3	1950-05-08		Yes	WJP	USGS	2.83	1700				UNSP	0.00		UNSP	UNSP	1		UNSP			1700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	4	1950-05-22		Yes	EDN	USGS	2.46	1180				UNSP	0.00		UNSP	UNSP	1		UNSP			1180				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	5	1950-06-05		Yes	EDN	USGS	2.45	983				UNSP	0.00		UNSP	UNSP	1		UNSP			983				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	6	1950-06-19		Yes	EDN	USGS	2.42	836				UNSP	0.00		UNSP	UNSP	1		UNSP			836				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	7	1950-07-03		Yes	EDN	USGS	2.28	722				UNSP	0.00		UNSP	UNSP	1		UNSP			722				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	8	1950-07-17		Yes	EDN	USGS	2.47	922				UNSP	0.00		UNSP	UNSP	1		UNSP			922				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06788500	9	1950-07-31		Yes	EDN	USGS	2.18	709				UNSP	0.00		UNSP	UNSP	1		UNSP			709				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
