#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:47 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06790500 North Loup River near Saint Paul, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06790500	1A	1928-08-16		Yes	LeFever	USGS	1.42	650				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	650	270	356		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	2A	1928-09-20		Yes	LeFever	USGS	1.61	805				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	805	323	460		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	3A	1928-10-24		Yes	LeFever	USGS	1.73	946				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	946	284	421		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	4A	1928-11-08		Yes	do	USGS	1.86	1210				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1210	323	434		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	5A	1928-11-22		Yes	do	USGS	1.64	1040				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1040	267	492		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	6A	1929-01-31		Yes	Cabell	USGS	3.20	7.01				UNSP			CICE	UNSP	1		UNSP	QSCMM	VELC	7.01	345	382		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	7A	1929-02-14		Yes	LeFever	USGS		637				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	637	345	432		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	8A	1929-03-27		Yes	do	USGS	1.70	1100				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1100	241	460		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	9A	1929-04-18		Yes	Eisenhut	USGS	1.77	1080				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1080	370	419		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	10A	1929-05-01		Yes	do	USGS	1.75	1420				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1420	281	482		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	11A	1929-05-31		Yes	LeFever	USGS	1.70	1300				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1300	286	552		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	12A	1929-06-17		Yes	do	USGS	1.40	874				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	874	263	400		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	13A	1929-06-18		Yes	do	USGS	2.83	6290				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	6290	283	1030		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	14A	1929-07-15		Yes	Eisenhut	USGS	1.24	838				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	838	270	394		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	15A	1929-08-02		Yes	do	USGS	1.30	666				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	666	320	396		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	16A	1929-08-26		Yes	do	USGS	1.36	790				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	790	279	440		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	17A	1929-09-03		Yes	Campbell	USGS	1.54	819				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	819	296	464		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	18A	1929-09-18		Yes	Campbell	USGS	1.44	715				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	715	294	456		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	19A	1929-12-03		Yes	LeFever	USGS	1.26	225				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	225		204		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	20A	1930-01-06		Yes	LeFever	USGS		730				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	730	348	562		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	21A	1930-02-23		Yes	Jenkins	USGS	1.73	1130				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1130	291	414		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	22A	1930-03-20		Yes	LeFever	USGS	1.69	1090				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1090	332	444		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	23A	1930-04-03		Yes	LeFever	USGS	1.67	900				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	900	316	419		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	24A	1930-04-18		Yes	LeFever	USGS	1.98	1760				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1760	313	533		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	25A	1930-05-03		Yes	LeFever	USGS	1.98	1400				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1400		534		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	26A	1930-05-21		Yes	LeFever	USGS	1.96	1420				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1420	303	570		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	27A	1930-06-06		Yes	LeFever	USGS	2.09	1540				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1540	330	657		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	28A	1930-06-19		Yes	LeFever	USGS	1.65	1020				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1020	319	501		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	29A	1930-07-05		Yes	Eisenhut	USGS	1.50	771				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	771	306	405		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	30A	1930-07-17		Yes	Eisenhut	USGS	1.36	625				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	625	354	348		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	31A	1930-08-07		Yes	Eisenhut	USGS	1.51	769				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	769	226	441		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	32A	1930-08-28		Yes	Jenkins	USGS	1.66	873				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	873	243	376		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	33A	1930-09-16		Yes	Cabell	USGS	1.64	794				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	794	290	430		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	34A	1930-10-15		Yes	Cabell	USGS	2.00	1270				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1270	328	576		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	35A	1930-11-07		Yes	Jenkins	USGS	1.70	979				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	979	210	383		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	36A	1930-11-25		Yes	Jenkins	USGS	1.55	1050				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1050	199	330		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	37A	1930-12-11		Yes	Jenkins	USGS	1.68	1030				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1030	244	431		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	38A	1931-01-09		Yes	Eisenhut	USGS	1.39	897				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	897	150	274		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	39A	1931-02-06		Yes	Hanks	USGS	1.60	1210				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1210	285	416		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	40A	1931-03-09		Yes	Eisenhut	USGS	1.64	1150				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1150	230	374		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	41A	1931-03-25		Yes	Eisenhut	USGS	1.71	1040				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1040	328	439		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	42A	1931-04-10		Yes	Cabell	USGS	1.82	1190				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1190	299	507		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	43A	1931-04-19		Yes	Cabell	USGS	1.72	941				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	941	242	418		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	44A	1931-05-06		Yes	Eisenhut	USGS	1.69	942				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	942	317	500		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	45A	1931-05-09		Yes	Eisenhut	USGS	1.91	1460				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1460	344	562		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	46A	1931-05-19		Yes	Eisenhut	USGS	1.70	871				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	871	301	396		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	47A	1931-05-21		Yes	Eisenhut	USGS	1.69	860				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	860	292	381		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06790500	48A	1931-06-01		Yes	Eisenhut	USGS	1.68	746				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	746	241	381		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
