#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:42:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06794500 Loup River at Columbus, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06794500	1A	1909-03-13		Yes	Bates	USGS	4.60	3340				UNSP			UNSP	UNSP	1		UNSP	QSCMM		3340	300	645	5.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	2A	1909-03-20		Yes	Dobson	USGS	4.55	2800				UNSP			UNSP	UNSP	1		UNSP	QSCMM		2800	360	712	3.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	3A	1909-04-13		Yes	Dobson	USGS	4.55	3008.4				UNSP	0.22		UNSP	UNSP	1		UNSP	QSCMM		3010	870	714	4.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	4A	1909-05-08		Yes	Dobson	USGS	4.68	2370				UNSP	0.25		UNSP	UNSP	1		UNSP	QSCMM		2370	870	788	3.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	5A	1909-07-08		Yes	Dobson	USGS	4.79	6640				UNSP	0.16		UNSP	UNSP	1		UNSP	QSCMM		6640	850	1210	5.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	6A	1909-08-31		Yes	Dobson	USGS	4.55	1850				UNSP	0.26		UNSP	UNSP	1		UNSP	QSCMM		1850	412	742	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	7A	1909-10-22		Yes	Dobson	USGS	4.57	2660				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		2660	530	917	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	8A	1909-11-05		Yes	Dobson	USGS	4.77	2290				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		2290	650	902	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06794500	9A	1910-04-20		Yes	Price	USGS	4.40	2280				UNSP	0.00		UNSP	UNSP	1		UNSP	QSCMM		2280	210	687	3.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
