#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:43:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06037500 Madison River near West Yellowstone, MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06037500	274	1956-05-24 19:00:00	MST	Yes	ALL	USGS	3.30	1960				Good	-0.02	1.00		MEAS	1	Imported Channel 1	UNSP	other		1960				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	392	1967-05-28 09:50:00	MDT	Yes	RDA	USGS	3.14	1740				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		1740				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	393	1967-06-04 11:20:00	MDT	Yes	RDA	USGS	3.34	1880				Good	-0.01	1.10	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		1880				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	394	1967-06-14 12:15:00	MDT	Yes	RDA	USGS	3.01	1410				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		1410				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	407	1968-06-08 07:30:00	MDT	Yes	RDA	USGS	2.94	1420				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		1420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	431	1970-06-10		Yes	EOL	USGS	3.11	1630				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		1630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	453	1972-05-31 13:40:00	MDT	Yes	EOL	USGS	3.20	1690				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		1690				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	454	1977-10-04		Yes	sl	USGS		370				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	455	1982-08-04		Yes	as	USGS	2.09	525				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		525				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	456	1982-09-15		Yes	as	USGS		475				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		475				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	472	1983-07-22		Yes	RRS/MMH	USGS	2.04	470				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	470	154	175	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	473	1983-09-02		Yes	ARS	USGS	1.98	421				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	421	153	165	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	474	1983-09-21		Yes	ARS	USGS	2.00	476				Fair	-0.01	1.00	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	476	153	172	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	475	1983-10-12		Yes	PLK	USGS	2.08	468				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	468	154	168	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	476	1983-10-25		Yes	PLK	USGS	2.02	469				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	469	154	167	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	477	1984-03-06		Yes	PLK	USGS	1.95	393				Fair	0.00	8.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	393	170	161	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	478	1984-04-17		Yes	PLK	USGS	2.09	480				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	480	170	190	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	479	1984-05-17		Yes	PLK	USGS	2.73	1180				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1180	224	305	3.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	480	1984-06-06		Yes	PLK	USGS	2.56	906				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	906	173	279	3.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	481	1984-07-11		Yes	PLK	USGS	2.13	512				Fair	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	512	166	191	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	482	1984-08-21		Yes	PLK	USGS	2.07	491				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	491	167	182	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	483	1984-10-03		Yes	PLK	USGS	2.03	469				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	469	166	180	2.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	484	1984-11-14		Yes	NAM	USGS	2.05	481				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	481	147	156	3.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	485	1985-02-06		Yes	ARS	USGS	2.19	379				Poor	0.00	0.90	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	379	93.0	147	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	486	1985-03-19		Yes	NAM	USGS	1.96	405				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	405	152	150	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	487	1985-05-01		Yes	NAM	USGS	2.28	669				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	669	114	205	3.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	488	1985-06-12		Yes	NAM	USGS	2.25	624				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	624	121	187	3.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	489	1985-07-24		Yes	NAM	USGS	2.12	524				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	524	118	166	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	490	1985-09-05		Yes	NAM	USGS	1.97	426				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	426	115	147	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	491	1985-10-16		Yes	NAM	USGS	2.02	456				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	456	120	155	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	492	1985-11-21		Yes	NAM	USGS	1.99	433				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	433	125	149	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	493	1986-03-05		Yes	SVL/KCJ	USGS	2.01	453				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	453	155	172	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	494	1986-05-28		Yes	KCJ/MMH	USGS	3.27	1970				Fair	-0.04	3.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1970	112	519	3.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	495	1986-06-02		Yes	KCJ	USGS	3.43	2120				Good	-0.03	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2120	195	680	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	496	1986-07-15		Yes	CLC	USGS	2.20	604				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	604	163	202	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	497	1986-10-07		Yes	CLC	USGS	2.11	519				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	519	182	198	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	498	1987-05-19 10:40:00	MDT	Yes	CLC	USGS	2.28	683				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	683	163	214	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	499	1988-03-29 14:10:00	MST	Yes	CLC	USGS		407				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	407	221	281	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	500	1988-04-14 09:45:00	MDT	Yes	CLC	USGS		575				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	575	207	245	2.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	501	1988-05-17 12:25:00	MDT	Yes	CLC	USGS	2.56	986				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	986	161	266	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	502	1988-08-09 13:10:00	MDT	Yes	CLC	USGS	1.82	310				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	310	156	142	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	503	1989-03-08 10:00:00	MST	Yes	SVL	USGS	1.89	377				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	377	154	148	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	504	1989-05-04 08:30:00	MDT	Yes	SVL	USGS	2.21	637				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	637	218	229	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	505	1989-07-25 16:45:00	MDT	Yes	SVL	USGS	1.92	388				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	388	154	154	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	506	1989-10-11 16:00:00	MDT	Yes	SWN/RSD	USGS	1.90	383				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	383	156	152	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	507	1990-01-24 14:20:00	MST	Yes	SVL	USGS	1.87	354				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	354	155	151	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	508	1990-05-15 14:50:00	MDT	Yes	SVL	USGS	2.22	674				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	674	157	210	3.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	509	1990-06-12 14:10:00	MDT	Yes	SVL	USGS	2.25	672				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	672	157	215	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	510	1990-07-25 15:15:00	MDT	Yes	TJM/SVL	USGS	1.94	426				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	426	156	168	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06037500	511	1990-09-12 16:20:00	MDT	Yes	SVL	USGS	1.86	352				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	352	156	149	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
