#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:43:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03086500 Mahoning River at Alliance OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03086500	5	1942-02-17		Yes	T	USGS	4.00	1420		0.00		GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1420	110	759	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	6	1942-04-10		Yes	t	USGS	4.24	1650		0.00		GOOD	0.07	1.10		MEAS	1	Unspecified	CRAN	QUNSP		1650	111	796	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	16	1942-12-30		Yes	t	USGS	5.36	2800		0.00		GOOD	0.04	1.20		MEAS	1	Unspecified	CRAN	QUNSP		2800	112	912	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	17	1943-02-11		Yes	t	USGS	3.18	835.0		0.00		GOOD	0.12	1.10		MEAS	1	Unspecified	CRAN	QUNSP		835.0	110	683	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	18	1943-03-12		Yes	t	USGS	2.92	696.0		0.00		GOOD	0.03	1.10		MEAS	1	Unspecified	CRAN	QUNSP		696.0	108	699	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	77	1947-04-13		Yes	t	USGS	2.93	665.0		0.00		GOOD	-0.02	1.40		MEAS	1	Unspecified	CRAN	QUNSP		665.0	109	619	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	78	1947-05-05		Yes	s	USGS	4.22	1620		0.00		GOOD	0.05	1.40		MEAS	1	Unspecified	CRAN	QUNSP		1620	111	792	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	68	1947-06-07		Yes	t	USGS	5.83	3310		0.00		GOOD	-0.09	1.20		MEAS	1	Unspecified	CRAN	QUNSP		3310	112	962	3.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	103	1950-06-26		Yes	s	USGS	3.51	1110		0.00		GOOD	-0.13	1.50		MEAS	1	Unspecified	CRAN	QUNSP		1110	114	692	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	129	1953-05-23		Yes	gdf	USGS	4.68	2070		0.00		GOOD	-0.11	1.10		MEAS	1	Unspecified	CRAN	QUNSP		2070	114	815	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	140	1953-10-16		Yes	gdf	USGS	5.26	2740		0.00		GOOD	-0.20	1.10		MEAS	1	Unspecified	CRAN	QUNSP		2740	115	886	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	168	1957-01-23		Yes	gdf	USGS	3.65	1140		0.00		GOOD	-0.06	1.10		MEAS	1	Unspecified	CRAN	QUNSP		1140	112	693	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	191	1959-01-22		Yes	us	USGS	9.11	9740		0.00		UNSP				UNSP	1	Unspecified	OTHR	QIDIR		9740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	193	1959-02-10		Yes	tsg	USGS	5.74	3250		0.00		GOOD	0.08	0.90		MEAS	1	Unspecified	CRAN	QUNSP		3250	110	903	3.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	257	1964-03-11		Yes	lmh	USGS	3.58	1170		0.00		GOOD	-0.13	1.10		MEAS	1	Unspecified	CRAN	QUNSP		1170			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	284	1966-04-29		Yes	akt	USGS	2.68	537.0		0.00		GOOD	-0.01	1.30		MEAS	1	Unspecified	CRAN	QUNSP		537.0	106	611	0.880	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	297	1967-05-09		Yes	ajt	USGS	2.81	617.0		0.00		FAIR	-0.04	1.10		MEAS	1	Unspecified	CRAN	QUNSP		617.0	106	619	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	306	1968-01-31		Yes	ajt	USGS	3.73	1100				FAIR	-0.10	1.20	CICE	MEAS	1	Unspecified	CRAN	QUNSP		1100	88.0	794	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	334	1972-03-17		Yes	tsg	USGS	2.89	689.0		0.00		GOOD	-0.02	1.10		MEAS	1	Unspecified	CRAN	QUNSP		689.0	109	612	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	392	1981-04-29		Yes	srf	USGS	2.90	705.0		0.00		GOOD	0.08	1.00		MEAS	1	Unspecified	CRAN	QUNSP		705.0	105	596	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	405	1983-05-09		Yes	srf	USGS	3.12	841.0		0.00		GOOD	0.00	0.80		MEAS	1	Unspecified	CRAN	QUNSP		841.0	104	611	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	443	1989-06-14		Yes	srf	USGS	3.16	839.0		0.00		GOOD	0.05	0.80		MEAS	1	Unspecified	CRAN	QUNSP		839.0	105	627	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	452	1990-10-09 12:00:00	EDT	Yes	LMH	USGS	1.70	31.2	20.0	-0.020	0.00	UNSP	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		31.2	42.0	23.8	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	453	1990-12-10 12:00:00	EST	Yes	SRF	USGS	1.84	85.5	20.0	0.00	3.00	FAIR	0.00	0.45	CLER	MEAS	1	Unspecified	WADE	QUNSP		85.5	39.0	43.4	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	454	1991-02-06 12:00:00	EST	Yes	SRF	USGS	2.16	206.0	20.0	-0.050	0.00	FAIR	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		206.0	38.0	67.5	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	455	1991-03-26 12:00:00	EST	Yes	SRF	USGS	1.76	59.4	20.0	0.010	3.00	FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		59.4	27.0	25.8	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	456	1991-05-30		Yes	SRF	USGS	1.60	15.7	20.0	0.00	5.00	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.7	20.0	15.4	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	457	1991-07-29		Yes	SRF	USGS	1.51	2.77	20.0	-0.020	5.00	FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		2.77	19.0	9.41	0.290	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	458	1991-12-02		Yes	SRF	USGS	1.52	2.31	20.0	-0.040	4.00	FAIR	0.00	0.50	HVDB	MEAS	1	Unspecified	WADE	QUNSP		2.31	21.0	10.2	0.230	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	459	1992-01-30		Yes	SRF	USGS	1.55	7.24	20.0	0.00	2.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.24	24.0	13.8	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	460	1992-04-02		Yes	SRF	USGS	1.80	72.4	20.0	0.00	5.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		72.4	28.0	30.4	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	461	1992-06-04		Yes	SRF	USGS	1.58	13.3	20.0	0.010	2.00	FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		13.3	22.0	13.7	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	462	1992-07-30		Yes	SRF	USGS	2.15	204.0	20.0	-0.040	-1.00	FAIR	-0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		204.0	38.0	60.6	3.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	463	1992-07-31		Yes	SRF	USGS	3.62	1250	20.0	0.00	5.00	GOOD	0.09	0.09	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1250	105	651	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03086500	464	1992-10-02		Yes	SRF	USGS	1.58	11.6	20.0	0.00	4.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		11.6	19.0	13.9	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
