#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:08 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06918060 Marmaton River near Nevada, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06918060	1A	2003-07-30 08:35:00	CDT	Yes	LL	USGS	1.96	6.47				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		6.47				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	1B	2003-10-22 09:00:00	CDT	Yes	ljl	USGS	2.40	43.5				Fair	0.00	0.70	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	43.5		24.2	1.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	2	2003-12-10 09:58:00	CST	Yes	ESS	USGS	16.37	4490				Fair	0.10	0.30	Unspecifed	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4490	134	1490	3.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	3	2003-12-11 11:34:00	CST	Yes	ESS	USGS	19.37	5100				Fair	-0.01	0.30	Unspecifed	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5100	142	1890	2.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	4	2004-01-27 13:00:00	CST	Yes	lb	USGS	5.78	707				Fair	-0.02	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	707	81.0	281	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	5	2004-03-05		Yes	ESS/PS	USGS	24.42	8430				Fair	-0.01	0.30		UNSP	1	Imported Channel 1	UNSP	QADCP	VADCP	8430	178	2680	3.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	6	2004-03-16 11:30:00	CST	Yes	ess/lb	USGS	4.91	595				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	595	84.3	242	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	7	2004-04-13 15:15:00	CDT	Yes	ESS	USGS	4.18	383				Fair	-0.03	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	383	76.0	162	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918060	8	2004-04-25 18:14:00	CDT	Yes	CCR/HSH	USGS	24.39	11300				Poor	0.05	0.50	Unspecifed	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	11300	566	4460	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
