#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06918065 Marmaton River below Nevada, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06918065	1	1990-05-17 13:30:00	CDT	Yes	HH	USGS	52.26	437				Unspecified	15.00	1.10		UNSP	1	Imported Channel 1	UNSP	other		437				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	2	1992-03-19 09:00:00	CST	Yes	HSH/JM	USGS	32.24	1860				Poor	0.34	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1860	100	830	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	3	1992-03-19 11:30:00	CST	Yes	HSH/JM	USGS	33.46	2130				Poor	0.21	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2130	110	954	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	4	1992-03-19 15:00:00	CST	Yes	HSH/JM	USGS	34.36	2350				Fair	0.13	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2350	112	1110	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	5	1992-05-20 15:50:00	CDT	Yes	BW /JM	USGS	43.75	5370				Unspecified	0.10	0.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5370	137	2310	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	6	1992-05-21 08:15:00	CDT	Yes	BW	USGS	44.74	5860				Unspecified	0.07	1.20	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5860	172	2580	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	7	1992-05-22 08:25:00	CDT	Yes	HH	USGS	46.93	8080				Unspecified	0.28	1.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8080	432	3350	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	8	1992-07-07 07:05:00	CDT	Yes	GLA	USGS	47.28	9060				Unspecified	0.09	1.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9060	416	3660	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	9	1992-12-15 11:55:00	CST	Yes	LL	USGS	51.10	579				Unspecified				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	579	464	5400	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	10	1993-04-07 12:05:00	CDT	Yes	HH	USGS	31.25	67.4				Unspecified	-0.10	1.00		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	67.4	96.0	717	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	11	1993-05-19 10:50:00	CDT	Yes	HH	USGS	44.07	16.9				Unspecified	0.07	1.00		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	16.9	127	2200	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	12	1994-04-12 12:35:00	CDT	Yes	LL	USGS	60.15	1770				Unspecified	-0.01	1.00		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	1770	480	9870	4.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06918065	13	2001-02-07 12:45:00	CST	Yes	JM	USGS	26.47	243				Fair	0.01	0.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	243	75.0	308	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
