#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:12 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04182950 MAUMEE RIVER AT COLISEUM BLVD AT FORT WAYNE, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04182950	1	2003-12-10 11:40:00	EST	Yes	BTR/DKM	USGS	9.82	4500				Fair	0.07	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4500	244	2110	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	2	2004-04-29 15:38:00	EST	Yes	BLB/JHP	USGS	3.31	578				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	578	192	951	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	3	2004-05-19 15:19:00	EST	Yes	CDM	USGS	5.65	1630				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1630	214	1380	1.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	4	2004-05-25 18:30:00	EST	Yes	cdm/btr	USGS	9.30	3940				Fair	0.00		DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3940	234	1870	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	5	2004-06-29 15:16:00	EST	Yes	rgk/lmj	USGS	3.62	706				Fair	0.03	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	706	192	937	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	6	2004-10-06 13:12:00	EST	Yes	BTR	USGS	1.76	87.5				Good	0.00	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.5	142	181	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	7	2004-10-21 15:38:00	EST	Yes	rgk/msh	USGS	3.46	607				Fair	0.00	0.40		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	607	185	794	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	8	2004-12-02 08:33:00	EST	Yes	CDM/MSH	USGS	11.84	5680				Fair	-0.01	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5680	246	2470	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	9	2005-01-13 11:18:00	EST	Yes	BTR/BLB	USGS	21.12	17900				Good	0.04	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	17900	432	5950	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	10	2005-03-10 08:29:00	EST	Yes	PRB/MSH	USGS	7.71	2680				Fair	-0.01	0.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	2680	234	1540	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	11	2005-05-05 12:15:00	EST	Yes	BTR/MSH	USGS	4.44	965				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	965	220	799	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	12	2005-06-21 11:33:00	EST	Yes	BTR	USGS	1.82	94.5				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.5	151	195	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	13	2005-08-02 15:15:00	EST	Yes	BTR/BLB	USGS	2.68	333				Fair	0.06	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	333	183	361	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	14	2005-11-02 10:15:00	EST	Yes	BTR/BLB	USGS	3.07	450				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	450	196	436	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	15	2005-12-05 15:21:00	EST	Yes	rgk/msh	USGS	5.54	1470				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1470	223	1050	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04182950	16	2006-02-07 08:34:00	EST	Yes	rgk/msh	USGS	9.42	3960				Fair	0.00		Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3960	240	1920	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
