#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:16 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04192500 Maumee River near Defiance OH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04192500	428	1990-08-21		Yes	SWH/SES	USGS	3.08	4610	 4.0	-0.080	0.00	GOOD	-0.01	1.25	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		4610	449	2140	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	429	1990-10-17		Yes	SWH/CHT	USGS	3.41	5800	 4.0	-0.180	0.00	GOOD	0.00	1.16	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5800	448	2520	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	430	1990-12-19		Yes	SWH/CHT	USGS	4.62	13500	 4.0	-0.200		GOOD	0.05	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		13500	459	4080	3.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	431	1990-12-31		Yes	SWH/CHT	USGS	12.94	77000	 4.0	0.00	-5.00	GOOD	0.12	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		77000	601	12600	6.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	432	1991-05-16		Yes	SWH/CHT	USGS	2.32	1850	 4.0	0.00	-2.00	GOOD	0.03	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1850	437	1250	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	433	1991-06-28		Yes	SWH/JH	USGS	1.69	391.0	 4.0	0.00		GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		391.0	639	653	0.599	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	434	1991-08-07		Yes	SWH/JH	USGS	1.56	177.0	 4.0	-0.030	2.00	FAIR			ALGA	MEAS	1	Unspecified	WADE	QUNSP		177.0	633	612	0.289	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	435	1991-10-10		Yes	SWH	USGS	1.79	532.0	 4.0	0.00	-5.00	GOOD	0.02	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		532.0	661	741	0.718	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04192500	436	1991-12-18		Yes	SWH/JS	USGS	2.39	2340	 4.0	0.060	0.00	GOOD	-0.02	1.75	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		2340	429	1390	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
