#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14158500 MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14158500	63	1956-05-31		Yes	WFL/DLW	USGS	5.00	1500				Unspecified	-0.01	1.00		MEAS	1	Imported Channel 1	UNSP	other		1500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	130	1964-12-27		Yes	CWA	USGS	6.83	2440				Unspecified	-0.01	0.60		MEAS	1	Imported Channel 1	UNSP	other		2440				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	288	1984-09-10		Yes	HDK	USGS	2.12	310				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	310	51.0	167	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	289	1984-10-30		Yes	MDC	USGS	2.26	366				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	366	55.0	190	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	290	1984-12-26		Yes	MDC	USGS	2.35	359				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	359	53.0	191	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	291	1985-02-27		Yes	MDC	USGS	1.95	281				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	281	52.0	168	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	292	1985-04-23		Yes	MDC	USGS	3.52	737				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	737	57.0	2.52	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	293	1985-06-06		Yes	HDK	USGS	2.99	601				Good	0.01	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	601	56.0	228	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14158500	294	1985-07-31		Yes	HDK	USGS	2.12	316				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	316	54.0	176	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
