#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:37 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14159000 MCKENZIE R AT MCKENZIE BRIDGE, OREG.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14159000	377	1976-01-12		Yes	HDK	USGS	2.77	3200				Good	0.00	0.90		UNSP	1	Imported Channel 1	UNSP	other		3200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	380	1976-05-12		Yes	HDK	USGS	2.40	2820				Good	-0.03	0.90		UNSP	1	Imported Channel 1	UNSP	other		2820				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	393	1977-11-29		Yes	HDK	USGS	3.03	3560				Good	0.00	0.90		UNSP	1	Imported Channel 1	UNSP	other		3560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	394	1977-12-14		Yes	WWH	USGS	5.85	9790				Good	0.04	0.90		UNSP	1	Imported Channel 1	UNSP	other		9790				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	395	1977-12-15		Yes	WWH	USGS	5.06	7550				Good	-0.04	0.80		UNSP	1	Imported Channel 1	UNSP	other		7550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	424	1981-12-07		Yes	HDK	USGS	3.59	4630				Good	-0.08	0.80		UNSP	1	Imported Channel 1	UNSP	other		4630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	431	1983-01-06		Yes	MDC	USGS	3.03	3540				Good	0.06	0.80		UNSP	1	Imported Channel 1	UNSP	other		3540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	432	1983-03-01		Yes	MDC	USGS	2.32	2590				Good	0.00	0.90		UNSP	1	Imported Channel 1	UNSP	other		2590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	436	1983-10-05		Yes	HDK	USGS	1.18	1200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	437	1983-12-01		Yes	HDK	USGS	1.63	1630				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	438	1984-01-27		Yes	HDK	USGS	2.25	2370				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	439	1984-03-23		Yes	HDK	USGS	2.56	2840				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2840				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	440	1984-05-18		Yes	HDK	USGS	1.94	2020				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2020				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	441	1984-07-06		Yes	WWH	USGS	1.65	1720				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	442	1984-09-10		Yes	HDK	USGS	1.27	1310				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1310	136	437	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	443	1984-10-31		Yes	MDC	USGS	1.44	1510				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1510	138	476	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	444	1984-12-27		Yes	MDC	USGS	1.56	1640				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1640	140	496	3.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	445	1985-02-28		Yes	MDC	USGS	1.39	1460				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1460	136	472	3.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159000	446	1985-04-25		Yes	MDC	USGS	2.07	2260				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2260	139	556	4.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
