#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14159110 MCKENZIE RIVER ABOVE SOUTH FORK, NEAR RAINBOW, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14159110	1	2003-01-10 08:38:00	PST	Yes	SMD	USGS	9.11	2600				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2600	175	506	5.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	2	2003-01-29 15:34:00	PST	Yes	doc	USGS	9.64	3560				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3560	177	601	5.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	3	2003-01-30 16:38:00	PST	Yes	doc	USGS	12.75	10400				Good	0.04		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10400	193	1280	8.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	4	2003-04-14 11:44:00	PDT	Yes	DOC	USGS	9.55	3410				Fair	0.01	0.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3410	171	572	5.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	5	2003-06-26 07:10:00	PDT	Yes	DOC	USGS	8.32	1930				Fair	0.00	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1930	165	366	5.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	6	2003-06-26 08:30:00	PDT	Yes	DOC	USGS	8.33	1880				Fair	0.01	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1880	166	361	5.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	7	2003-08-21 08:40:00	PDT	Yes	DOC	USGS	8.02	1570				Poor	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1570	158	312	5.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	8	2003-09-12 08:03:00	PDT	Yes	DOC	USGS	7.97	1520				Fair	0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1520	158	324	4.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	9	2003-11-03 12:04:00	PST	Yes	DOC	USGS	8.01	1480				Poor	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1480	159	327	4.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14159110	10	2004-01-20 14:24:00	PST	Yes	DOC	USGS	9.43	3160				Fair	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3160	177	561	5.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
