#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:44:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04067000 MENOMINEE RIVER NEAR KOSS, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04067000	1A	1907-06-21		Yes	gag	USGS	3.04	3869				UNSP				MEAS	1	Unspecified	UNSP			3869				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1B	1907-07-19		Yes	gag	USGS	2.27	2652				UNSP				MEAS	1	Unspecified	UNSP			2652				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1C	1907-08-23		Yes	gag	USGS	1.15	1081				UNSP				UNSP	1	Unspecified	UNSP			1081				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1D	1907-10-15		Yes	gag	USGS	1.35	2953				UNSP				MEAS	1	Unspecified	UNSP			2953				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1E	1907-11-12		Yes	x	USGS	2.10	2637				UNSP				MEAS	1	Unspecified	UNSP			2637				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1F	1908-01-21		Yes	gag	USGS	2.15	1902				UNSP				UNSP	1	Unspecified	UNSP			1902				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1G	1908-02-11		Yes	gag	USGS	2.70	1828				UNSP				MEAS	1	Unspecified	UNSP			1828				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1H	1908-03-10		Yes	gag	USGS	2.85	1797				UNSP				UNSP	1	Unspecified	UNSP			1797				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1I	1908-03-10		Yes	gag	USGS	2.85	1794				UNSP				MEAS	1	Unspecified	UNSP			1794				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1J	1908-04-15		Yes	gag	USGS	5.40	8430				UNSP				UNSP	1	Unspecified	UNSP			8430				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1K	1908-04-16		Yes	gag	USGS	5.90	9129				UNSP				MEAS	1	Unspecified	UNSP			9129				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1L	1908-04-16		Yes	gag	USGS	6.10	8799				UNSP				MEAS	1	Unspecified	UNSP			8799				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1M	1908-07-14		Yes	gag	USGS	2.95	3165				UNSP				UNSP	1	Unspecified	UNSP			3165				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1N	1908-09-19		Yes	gag	USGS	1.30	1457				UNSP				UNSP	1	Unspecified	UNSP			1457				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1O	1909-02-24		Yes	mmo	USGS	2.41	1270				UNSP				UNSP	1	Unspecified	UNSP			1270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1P	1909-03-12		Yes	gag	USGS	2.80	1390				UNSP				MEAS	1	Unspecified	UNSP			1390				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1Q	1919-05-21		Yes	wgh	USGS	-19.25	5480				UNSP	-0.13	1.70		MEAS	1	Unspecified	WADE	QUNSP		5480	275	1260	4.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1R	1919-05-24		Yes	wgh	USGS	-19.22	5390				UNSP	-0.04	1.70		MEAS	1	Unspecified	WADE	QUNSP		5390	268	1250	4.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1S	1919-05-24		Yes	wgh	USGS	-19.29	5311				UNSP	0.03	2.00		MEAS	1	Unspecified	UNSP			5311				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1T	1919-09-14		Yes	sbs	USGS	-21.71	1520				UNSP	0.02	1.50		MEAS	1	Unspecified	UNSP			1520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1U	1919-09-15		Yes	sbs	USGS	-21.37	1900				UNSP	-0.01	1.80		MEAS	1	Unspecified	UNSP			1900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1W	1919-09-16		Yes	sbs	USGS	-21.68	1610				UNSP	0.04	1.70		MEAS	1	Unspecified	UNSP			1610				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1V	1919-09-16		Yes	sbs	USGS	-21.56	1720				UNSP	0.09	1.80		MEAS	1	Unspecified	UNSP			1720				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1X	1922-09-12		Yes	eef	USGS		6540				UNSP				MEAS	1	Unspecified	UNSP			6540				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	1Y	1931-10-29		Yes	ccy	USGS		2080				UNSP				MEAS	1	Unspecified	UNSP			2080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04067000	2A	1939-09-13		Yes	rhb	USGS		2730				GOOD	0.08	1.50		MEAS	1	Unspecified	WADE	QUNSP		2730	243	814	3.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
