#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:45:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06135000 Milk River at Eastern Crossing of Int Bndry
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06135000	98	1975-06-23		Yes	COG/WAB	USGS	9.19	6700				Fair	-0.22	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6700	168	936	7.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	157	1978-03-27		Yes	DRJ	USGS	9.51	6890				Poor	-0.04	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6890	172	1010	6.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	298	1984-03-01		Yes	FMO	USGS		53.1				Poor			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	53.1	85.0	63.4	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	299	1984-03-12		Yes	FMO	USGS		49.6				Fair			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	49.6	70.0	47.9	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	300	1984-03-26		Yes	FMO/DBH	USGS	5.68	633				Unspecified	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	633	100	203	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	301	1984-04-11		Yes	RGH	USGS	5.35	300				Unspecified	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	300	152	190	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	302	1984-04-25		Yes	RGH	USGS	5.03	207				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	207	152	162	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	303	1984-05-10		Yes	FMO/DBH	USGS	4.93	181				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	146	142	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	304	1984-05-29		Yes	RET	USGS	5.86	518				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	518	154	256	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	305	1984-06-13		Yes	RGH	USGS	6.09	586				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	586	148	307	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	306	1984-06-27		Yes	RGH	USGS	6.33	759				Unspecified	-0.02	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	759	151	355	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	307	1984-07-18		Yes	FMO	USGS	5.97	581				Unspecified	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	581	155	275	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	308	1984-07-30		Yes	RET	USGS	5.99	593				Fair	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	593	155	274	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	309	1984-08-15		Yes	DGG	USGS	6.07	546				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	546	143	277	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	310	1984-08-28		Yes	DGG	USGS	5.21	241				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	241	98.4	136	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06135000	311	1984-09-05		Yes	FMO	USGS	4.31	59.1				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	59.1	47.0	53.1	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
