#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:04 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06140500 Milk River at Havre MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06140500	1	1904-08-04		Yes	nn	USGS		3.40				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3.40				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	2	1923-03-23		Yes	nn	USGS		295				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		295				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	3	1923-03-27		Yes	nn	USGS		334				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		334				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	4	1923-04-22		Yes	nn	USGS		562				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		562				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	5	1953-06-07		Yes	nn	USGS		5900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	6	1953-06-12		Yes	nn	USGS		4670				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4670				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	294	1975-10-01		Yes	CLC	USGS	4.74	250				Good	0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	250	105	241	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	295	1975-10-29		Yes	CLC	USGS	4.53	198				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	198	106	206	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	296	1975-11-26		Yes	CLC	USGS	4.15	112				Poor	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	112	106	145	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06140500	297	1976-01-06		Yes	CLC/SL	USGS	4.25	134				Fair	0.00	0.80	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	134	100	112	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
