#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:08 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06155030 Milk River near Dodson MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06155030	8	1983-07-11		Yes	KGN	USGS	14.26	1770				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	9	1983-07-12		Yes	KGN	USGS	16.56	2270				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		2270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	10	1983-07-15		Yes	KGN	USGS	9.84	854				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		854				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	13	1983-10-17		Yes	KGN	USGS	4.09	70.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	70.9	29.0	34.7	2.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	14	1983-11-29		Yes	KGN	USGS	4.07	62.3				Poor	0.01	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	62.3	38.0	62.0	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	15	1984-01-09		Yes	KGN	USGS	4.31	59.6				Fair	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	59.6	22.0	44.0	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	16	1984-02-29		Yes	KGN	USGS	3.45	2.00				Fair	-0.01	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.00	5.70	1.39	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	17	1984-04-02		Yes	KGN	USGS	3.47	23.7				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.7	20.0	16.2	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06155030	18	1984-05-15		Yes	KGN	USGS	4.78	138				Fair	-0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	138	30.0	45.3	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
