#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06172310 Milk River at Tampico MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06172310	9	1974-04-08		Yes	TF	USGS	16.77	4930				Good				MEAS	1	Imported Channel 1	UNSP	other		4930				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	13	1974-05-24		Yes	KLT	USGS	22.76	7720				Good				MEAS	1	Imported Channel 1	UNSP	other		7720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	27	1975-04-24		Yes	TF	USGS	16.94	5070				Good				MEAS	1	Imported Channel 1	UNSP	other		5070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	29	1975-05-10		Yes	TF	USGS	22.81	7740				Good				MEAS	1	Imported Channel 1	UNSP	other		7740				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	37	1977-03-24		Yes	TF	USGS	21.80	6830				Good			Clear	MEAS	1	Imported Channel 1	UNSP	other		6830				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	55	1987-05-04		Yes	KLT/JF	USGS	3.82	345				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	345	88.0	165	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	56	1987-05-28		Yes	JJF	USGS	4.59	462				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	462	96.0	266	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	57	1987-06-18		Yes	JJF	USGS	1.98	18.3				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.3	37.0	27.5	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	58	1987-06-23		Yes	KLT/JF	USGS	3.00	183				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	183	68.0	82.1	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	59	1987-07-20		Yes	JJF/MJ	USGS	3.44	287				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	287	65.0	109	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	60	1987-08-14		Yes	JJF/MJ	USGS	2.56	107				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	107	87.0	168	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	61	1987-10-05 10:45:00	MDT	Yes	JJF	USGS	2.30	63.4				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	63.4	88.0	70.1	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	62	1987-11-06 10:15:00	MST	Yes	JJF	USGS	2.51	85.5				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	85.5	61.0	49.0	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	63	1987-12-17 10:45:00	MST	Yes	JJF	USGS	3.06	181				Fair	0.00	0.30	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	95.0	114	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	64	1988-01-29 11:00:00	MST	Yes	JJF/KT	USGS	3.05	104				Fair	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	104	62.0	64.9	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	65	1988-03-29 11:50:00	MST	Yes	JJF	USGS	1.80	8.24				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.24	47.0	19.6	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	66	1988-04-20 11:10:00	MDT	Yes	KLT	USGS	1.72	3.92				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.92	44.0	15.9	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	67	1988-05-23 09:30:00	MDT	Yes	KLT	USGS	1.95	18.7				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.7	50.0	26.8	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	68	1988-09-21 10:20:00	MDT	Yes	KLT	USGS	1.79	10.8				Poor	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.8	53.0	16.7	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	69	1988-10-17 10:10:00	MDT	Yes	MRJ	USGS	2.71	144				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	77.0	73.9	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	70	1988-12-12 10:05:00	MST	Yes	MRJ	USGS	2.33	81.0				Good	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	81.0	58.0	45.2	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06172310	71	1989-01-30 11:35:00	MST	Yes	MRJ/KLT	USGS	2.45	61.0				Good	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	61.0	65.0	46.2	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
