#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:10 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06174500 Milk River at Nashua MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06174500	383	1952-04-08		Yes	BM	USGS	30.61	31300				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		31300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	384	1952-04-09		Yes	BB	USGS	30.70	30000				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		30000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	385	1952-04-11		Yes	BB	USGS	30.12	23300				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		23300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	386	1952-04-16		Yes	MT	USGS	30.20	27300				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		27300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	387	1952-04-18		Yes	MBT	USGS	31.36	44800				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		44800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	388	1952-04-21		Yes	MT	USGS	30.18	26900				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		26900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	389	1952-04-24		Yes	BER	USGS	29.07	20300				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		20300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	390	1952-04-29		Yes	MB	USGS	26.58	16800				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		16800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	391	1952-05-01		Yes	BER	USGS	24.54	14400				Unspecified			Clear	UNSP	1	Imported Channel 1	UNSP	other		14400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06174500	392	1952-05-04		Yes	BER	USGS	21.49	11200				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	other		11200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
