#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04086150 MILWAUKEE RIVER AT KEWASKUM, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04086150	1	1968-04-07		Yes	b/nh	USGS	2.84	74.0				GOOD	-0.01	0.60		UNSP	1		UNSP	QSCMM	VPAA	74.0	40.0	67.6	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	2	1968-04-17		Yes	brigham	USGS	3.53	174				EXCL	-0.02	0.60		UNSP	1		UNSP	QSCMM	VPAA	174	45.0	97.4	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	3	1968-04-21		Yes	jh	USGS	3.85	223				GOOD	0.01	1.00		UNSP	1		UNSP	QSCMM	VPAA	223	42.0	106	2.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	4	1968-04-23		Yes	jh	USGS	4.33	350				FAIR	0.02	0.70		UNSP	1		UNSP	QSCMM	VPAA	350	44.0	134	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	5	1968-06-06 19:18:00	CDT	Yes	jh	USGS	2.37	33.6				GOOD	0.00	0.60		UNSP	1		UNSP	QSCMM	VPAA	33.6	38.0	48.7	0.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	6	1968-07-15		Yes	ez/jh	USGS	2.29	23.9				GOOD	0.00	0.70		UNSP	1		UNSP	QSCMM	VPAA	23.9	40.0	47.4	0.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	7	1968-08-22		Yes	ez	USGS	2.14	15.2				GOOD	0.00	1.50		UNSP	1		UNSP	QSCMM	VPAA	15.2	40.0	41.2	0.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	8	1968-09-22		Yes	ez	USGS	2.25	21.9				GOOD	0.00	1.30		UNSP	1		UNSP	QSCMM	VPAA	21.9	40.0	46.0	0.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086150	9	1968-11-04		Yes	ez	USGS	2.13	13.6				GOOD	0.00	1.10		UNSP	1		UNSP	QSCMM	VPAA	13.6	39.0	39.3	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
