#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:22 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04086360 MILWAUKEE RIVER AT WAUBEKA, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04086360	1	1968-03-26		Yes	d/b	USGS	2.94	156				EXCL	0.00	0.80	UNSP	UNSP	1		UNSP	QSCMM	VPAA	156	114	191	0.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	2	1968-04-19		Yes	b	USGS	4.41	525				GOOD	0.00	0.90	UNSP	UNSP	1		UNSP	QSCMM	VPAA	525	148	396	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	3	1968-04-23		Yes	jh	USGS	5.19	887				GOOD	0.02	1.30	UNSP	UNSP	1		UNSP	QSCMM	VPAA	887	150	508	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	4	1968-04-24		Yes	jh	USGS	5.47	1030				GOOD	0.02	1.10	UNSP	UNSP	1		UNSP	QSCMM	VPAA	1030	150	546	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	5	1968-06-07		Yes	jh/z	USGS	2.75	129				GOOD	0.00	0.60	UNSP	UNSP	1		UNSP	QSCMM	VPAA	129	120	179	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	6	1968-07-15		Yes	jh/ez	USGS	2.64	114				GOOD	-0.01	1.30	UNSP	UNSP	1		UNSP	QSCMM	VPAA	114	123	162	0.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	7	1968-08-27		Yes	ez	USGS	2.17	49.2				GOOD	0.00	0.80	UNSP	UNSP	1		UNSP	QSCMM	VPAA	49.2	117	102	0.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	8	1968-09-23		Yes	ez	USGS	2.62	112				GOOD	0.00	1.40	UNSP	UNSP	1		UNSP	QSCMM	VPAA	112	119	159	0.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04086360	9	1968-10-31		Yes	ez	USGS	2.50	81.1				GOOD	0.00	0.70	UNSP	UNSP	1		UNSP	QSCMM	VPAA	81.1	111	153	0.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
