#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:25 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04087000 MILWAUKEE RIVER AT MILWAUKEE, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04087000	1	1914-04-30		Yes	Canf Hoy	USGS	1.52	433				UNSP			UNSP	MEAS	1		UNSP	QSCMM		433	85.0	405	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	2	1914-05-01		Yes	Canfield	USGS	1.46	408				UNSP			UNSP	MEAS	1		UNSP	QSCMM		408	85.0	399	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	3	1914-05-25		Yes	Canfield	USGS	1.81	648				UNSP			UNSP	MEAS	1		UNSP	QSCMM		648	85.0	431	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	4	1914-05-26		Yes	Canfield	USGS	1.97	807				UNSP			UNSP	MEAS	1		UNSP	QSCMM		807	85.0	455	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	5	1914-06-08		Yes	Hoyt	USGS	2.55	1320				UNSP			UNSP	MEAS	1		UNSP	QSCMM		1320	85.0	520	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	7	1914-10-19		Yes	HCB	USGS	3.22	2050				UNSP				MEAS	1	Unspecified	UNSP			2050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	11	1915-03-03		Yes	Rather	USGS	2.70	1550				UNSP			CICE	MEAS	1		UNSP	QSCMM		1550	85.0	585	2.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	12	1916-01-04		Yes	Beckman	USGS	2.47	509				UNSP			CICE	MEAS	1		UNSP	QSCMM		509	91.0	851	0.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04087000	14	1916-03-30		Yes	WGH	USGS	4.15	3230				UNSP				MEAS	1	Unspecified	UNSP			3230				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
