#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05200445 MISSISSIPPI RIVER AT BEMIDJI, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05200445	1A	1950-05-29		Yes	H,P	USGS	11.63	1060				Good	-0.01	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1060	117	621	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	1	1964-06-04		Yes	LEB	USGS	14.16	68.0				Good	0.00	1.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	68.0	49.0	88.7	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	2	1964-08-07		Yes	RPN	USGS	14.19	61.6				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	61.6	42.0	80.1	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	3	1964-11-18		Yes	LES	USGS	13.57	97.4				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	97.4	48.0	112	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	4	1965-06-18		Yes	DH	USGS	11.38	381				Good	0.01	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	381	65.0	318	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	5	1965-08-25		Yes	PA	USGS	14.35	57.0				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	57.0	50.0	76.6	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	6	1970-08-06		Yes	JPM	USGS	14.70	50.6				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.6	52.0	124	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	7	1971-08-09		Yes	---	USGS		104				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		104				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200445	8	1972-11-03		Yes	WAG	USGS	13.74	102				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	102	53.0	139	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
