#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05200510 MISSISSIPPI RIVER NEAR BEMIDJI, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05200510	1	1987-09-03 11:12:00	CDT	Yes	MRH/JHH	USGS	3.48	230				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	230	85.0	156	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	2	1987-11-09 09:50:00	CST	Yes	HDB	USGS	3.09	190				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	190	101	175	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	3	1988-04-27 13:25:00	CDT	Yes	HDB	USGS	3.74	410				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	410	101	165	2.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	4	1988-05-26 15:00:00	CDT	Yes	BEC/KER	USGS	2.84	132				Good	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	132	82.0	114	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	5	1988-06-28 08:30:00	CDT	Yes	HDB	USGS	2.65	87.8				Good	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.8	80.0	78.9	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	6	1988-07-15 08:50:00	CDT	Yes	GOT/HRD	USGS	2.14	20.0				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.0	64.0	45.1	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	7	1988-07-15 11:45:00	CDT	Yes	GOT/HRD	USGS	2.69	83.2				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	83.2	103	86.2	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	8	1988-07-15 13:40:00	CDT	Yes	GOT/HRD	USGS	2.56	64.2				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.2	100	76.7	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	9	1988-08-03 13:55:00	CDT	Yes	BRA/DEN	USGS	2.46	61.7				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	61.7	79.0	70.3	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	10	1988-08-18 13:25:00	CDT	Yes	BRA/DEN	USGS	2.99	153				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	153	89.0	112	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	11	1988-08-24 11:55:00	CDT	Yes	GOT/HRD	USGS	3.48	266				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	266	113	154	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	12	1988-09-23 13:45:00	CDT	Yes	MEL/HUS	USGS	3.69	339				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	339	103	168	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	13	1988-11-08 13:35:00	CST	Yes	BRA/DEN	USGS	3.18	192				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	192	100	127	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05200510	14	1988-12-02 11:30:00	CST	Yes	BRA/DEN	USGS	3.16	191				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	191	94.0	121	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
