#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05288950 MISSISSIPPI RIVER AT FORD PLANT IN ST. PAUL, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05288950	1	1924-12-19		Yes	STR	USGS		20400				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	2	1924-12-19		Yes	STR	USGS		2440				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2440	285	2040		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	3	1924-12-20		Yes	STR	USGS		2120				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2120	284	1940		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	4	1924-12-20		Yes	STR	USGS		1760				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1760	283	1800	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	5	1935-09-27		Yes	STR	USGS	708.75	1810				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1810	312	2190	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	6	1938-05-25		Yes	JEF	USGS		25300				Excellent				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	25300	296	5880	4.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	7	1938-06-10		Yes	JEF	USGS		15500				Excellent				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15500	268	4260	3.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	8	1938-06-27		Yes	STR	USGS		5990				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5990	273	3330		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05288950	10	1938-08-30		Yes	PRI	USGS		3280				Good				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3280	238	2680		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
