#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:46:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05378500 MISSISSIPPI RIVER AT WINONA, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05378500	300	1912-09-04		Yes	---	USGS		27800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		27800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	313	1950-04-05 09:05:00	CST	Yes	JHH	USGS	8.94	66200				Good	0.03	6.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	66200	1600	24100	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	314	1950-05-12 10:00:00	CDT	Yes	JHH/WLD	USGS	13.50	114000				Good	0.16	8.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	114000	1920	34400	3.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	315	1950-05-25 09:45:00	CDT	Yes	JHH/W	USGS	10.48	77800				Good	-0.05	7.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	77800	1910	28400	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	316	1950-06-08 09:50:00	CDT	Yes	LCG	USGS	7.53	50900				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50900	1600	21200	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	317	1950-07-11 14:00:00	CDT	Yes	JHH/F	USGS	5.51	19100				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	19100	1530	17900	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	318	1950-08-11 12:30:00	CDT	Yes	CLL	USGS	5.49	14600				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14600	815	13700	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	319	1950-09-08 16:05:00	CDT	No	G/CLL	USGS	45.15	10200				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10200	1020	19800	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05378500	320	1950-10-06 08:50:00	CST	Yes	CLL	USGS	5.04	16200				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16200	1550	16800	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
