#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05420500 Mississippi River at Clinton, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05420500	1	1938-09-28 12:55:00	CST	Yes	WIT/WAS	USGS	16.66	123500		0.00		GOOD				MEAS	1	Unspecified	CRAN	QUNSP		123500	1750	34600	3.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	2	1939-02-01 07:30:00	CST	Yes	BRI/SHA	USGS	5.41	29000		0.00		UNSP				MEAS	1	Unspecified	CRAN	QUNSP		29000	1450	20100	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	3	1939-03-08 13:10:00	CST	Yes	BRI/SHA	USGS	3.76	31800		0.00		GOOD	0.02	2.33	SICE	MEAS	1	Unspecified	CRAN	QUNSP		31800	1450	19200	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	4	1939-04-06 08:20:00	CST	Yes	WHI/KOE	USGS	9.19	129400		0.00		GOOD	0.22	4.66		MEAS	1	Unspecified	BOAT	QUNSP		129400	1640	35100	3.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	5	1939-04-21 08:55:00	CST	Yes	VAK	USGS	7.00	87100		0.00		GOOD	-0.04	3.25		MEAS	1	Unspecified	BOAT	QUNSP		87100	1640	28400	3.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	6	1939-05-15 13:40:00	CST	Yes	HDB/WAS	USGS	8.35	44600		0.00		UNSP	-0.14	2.90		MEAS	1	Unspecified	CRAN	QUNSP		44600	1520	20600	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	7	1939-06-05 13:30:00	CST	Yes	WIT	USGS	10.68	53200		0.00		EXCL	0.07	4.00		MEAS	1	Unspecified	BOAT	QUNSP		53200	1530	22800	2.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	8	1939-07-18 16:40:00	CST	Yes	BRI/REV	USGS	9.51	37800		0.00		EXCL	0.06	3.40		MEAS	1	Unspecified	BOAT	QUNSP		37800	1510	21800	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	9	1939-07-27 11:15:00	CST	Yes	RWR	USGS	8.83	16500		0.00		GOOD	0.06	4.40		MEAS	1	Unspecified	CRAN	QUNSP		16500	1440	18200	0.907	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	10	1939-08-17 11:00:00	CST	Yes	RWR/WAS	USGS	9.02	23700		0.00		GOOD	-0.04	3.50		MEAS	1	Unspecified	BOAT	QUNSP		23700	1470	19000	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	11	1939-09-22 13:10:00	CST	Yes	RWR/WAS	USGS	9.01	18600		0.00		GOOD	-0.09	3.50		MEAS	1	Unspecified	BOAT	QUNSP		18600	1450	18500	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05420500	12	1939-11-04 12:05:00	CST	Yes	WIT/BHR	USGS	8.10	20800		0.00		GOOD	0.00	3.66		MEAS	1	Unspecified	CRAN	QUNSP		20800	1400	17300	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
