#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:25 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06057000 Missouri River near Townsend MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06057000	10	1951-04-03		Yes	jv /fcb	USGS	6.17	5430				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5430				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	11	1951-05-07		Yes	bo	USGS	6.60	7100				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	12	1951-05-21		Yes	bo	USGS	8.02	12700				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		12700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	13	1951-06-06		Yes	bo	USGS	7.51	10700				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		10700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	14	1951-06-20		Yes	fcb/mvj	USGS	7.43	10800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		10800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	15	1951-07-18		Yes	fcb/mvj	USGS	5.65	3570				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3570				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	16	1951-08-21		Yes	mvj/rtp	USGS	5.31	2810				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2810				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	17	1951-09-27		Yes	mvj	USGS	5.80	4210				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4210				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	18	1951-10-22		Yes	mvj	USGS	6.00	4820				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4820				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	19	1951-11-19		Yes	mvj	USGS	5.84	3940				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3940				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	20	1952-03-24		Yes	mvj	USGS	5.88	4900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	21	1952-04-18		Yes	mvj	USGS	7.10	9310				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	22	1952-05-20		Yes	mvj	USGS	8.29	14600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		14600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	23	1952-06-04		Yes	mvj	USGS	9.01	18200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		18200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	24	1952-06-11		Yes	gb	USGS	9.05	19200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	25	1952-07-18		Yes	mvj	USGS	5.87	4420				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	26	1952-08-28		Yes	mvj	USGS	5.32	29200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		29200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	27	1953-03-18		Yes	jd	USGS	5.66	3690				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3690				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	28	1953-04-22		Yes	jd	USGS	5.55	3400				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	29	1953-06-17		Yes	gb	USGS	9.85	22200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		22200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	30	1953-07-10		Yes	mvj	USGS	6.20	5560				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	31	1954-05-06		Yes	k	USGS	5.44	3230				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	32	1954-06-28		Yes	v	USGS	7.07	8700				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	33	1954-07-02		Yes	jd	USGS	7.34	9820				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9820				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	34	1955-06-06		Yes	gl	USGS	6.33	5910				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5910				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	35	1955-06-20		Yes	gl	USGS	8.19	13200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		13200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	36	1956-04-09		Yes	gl	USGS	6.17	4870				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4870				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	37	1956-05-21		Yes	jd	USGS	8.10	13100				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		13100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	38	1956-05-24		Yes	li	USGS	9.23	19500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	39	1956-05-26		Yes	mvj/jhd	USGS	8.22	15100				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		15100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	40	1956-05-31		Yes	jd	USGS	10.52	25500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		25500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	41	1956-06-01		Yes	jd	USGS	10.24	24600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		24600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	42	1956-06-14		Yes	mvj/jhb	USGS	7.16	9760				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9760				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	43	1956-06-26		Yes	eb	USGS	6.20	5600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	44	1956-08-01		Yes	jd	USGS	4.85	1970				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	45	1957-06-06		Yes	eb /fmo	USGS	8.49	16300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		16300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	46	1957-06-17		Yes	ejb/jhd	USGS	7.45	11200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		11200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	47	1957-07-02		Yes	gl	USGS	6.98	8940				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8940				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	48	1957-07-10		Yes	fmo	USGS	5.70	4390				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4390				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	49	1958-05-01		Yes	jhd/eol	USGS	5.69	4290				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4290				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	50	1958-05-12		Yes	li	USGS	6.95	9020				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9020				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	51	1958-06-25		Yes	mvj	USGS	6.14	5750				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		5750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	52	1958-08-12		Yes	fmo	USGS	4.88	2150				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	53	1959-06-10		Yes	jhd	USGS	8.52	16200				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		16200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	54	1960-05-16		Yes	t	USGS	7.40	11600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		11600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	55	1960-06-10		Yes	jhd	USGS	7.08	9560				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	56	1960-07-29		Yes	jhd	USGS	4.14	1310				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	57	1961-04-25		Yes	jhd	USGS	4.87	2440				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2440				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	58	1961-05-31		Yes	jhd	USGS	6.97	9170				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9170				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	59	1961-07-14		Yes	fmo	USGS	4.49	1860				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	60	1961-08-26		Yes	fmo	USGS	4.12	1350				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1350				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	61	1962-04-18		Yes	bo	USGS	6.81	8750				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	62	1962-05-25		Yes	bo	USGS	7.17	10400				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		10400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	63	1962-06-18		Yes	eol/jhd	USGS	8.12	14300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		14300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	64	1962-08-13		Yes	mk	USGS	5.09	2710				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06057000	65	1963-02-25		Yes	we	USGS	5.60	4190				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4190				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
