#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:40 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06074000 Missouri River at Cascade MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06074000	1	1967-06-14		Yes	nn	USGS		19600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06074000	2	1967-07-11		Yes	nn	USGS		11800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		11800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06074000	3	1976-05-27		Yes	nn	USGS		17100				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		17100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06074000	4	1978-04-06		Yes	nn	USGS		6570				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		6570				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06074000	69	2014-05-20 16:59:30	MDT	Yes	CCB/CBR	USGS	8.65	9680				Good	-0.01	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	9680	333	2310	4.19	SOFT	silt	EVEN	unkn	EVEN	UNFM	DNST	7300.00
USGS	06074000	70	2014-06-04 13:56:30	MDT	Yes	SLD/KLS	USGS	7.99	7460				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	7460	461	2020	3.70	FIRM	CBLS	EVEN	unkn	EVEN	UNFM	DNST	6000.00
USGS	06074000	71	2014-07-10 11:14:30	MDT	No	KLS/TCS	USGS	7.87	7340				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	7340	469	1920	3.83	FIRM	CBLS	EVEN	unkn	EVEN	UNFM	DNST	6000.00
USGS	06074000	72	2014-07-23 15:16:00	MDT	Yes	AW/TCS	USGS	6.99	4340				Fair	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	4340	295	1620	2.79	FIRM	GRVL	EVEN	unkn	EVEN	UNFM	DNST	4400.00
USGS	06074000	73	2014-09-09 17:04:00	MDT	Yes	MJW/KLS	USGS	6.98	4180				Fair	0.00	0.30	VegetationLight	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	4180	324	1570	2.66	FIRM	CBLS	EVEN	unkn	EVEN	UNFM	DNST	7300.00
USGS	06074000	74	2014-10-29 13:37:07	MDT	Yes	CBR/SML	USGS	7.17	4720				Good			Clear	MEAS	1	Main	MBOT	QADCP	VADCP	4720	337	1700	2.77	FIRM	CBLS	UNEV	unkn	EVEN	UNSP	DNST	2500.00
USGS	06074000	75	2015-03-27 13:18:00	MDT	Yes	KLS/CBR	USGS	6.94	4520				Fair	0.00		Clear	MEAS	1	Main	MBOT	QADCP	VADCP	4520	387	1950	2.32	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	4400.00
USGS	06074000	76	2015-05-21 08:46:00	MDT	Yes	KLS	USGS	7.20	4900				Fair	0.00	0.30	Clear	MEAS	1	MAIN	MBOT	QADCP	VADCP	4900	324	1650	2.97	FIRM	CBLS	EVEN	unkn	EVEN	UNFM	DNST	7300.00
USGS	06074000	77	2015-06-11 13:19:45	MDT	Yes	AW/KLS	USGS	7.78	6510				Fair	0.00	0.30	VegetationLight	MEAS	1	Main	MBOT	QADCP	VADCP	6510	332	1920	3.38	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	5280.00
USGS	06074000	78	2015-07-28 11:05:30	MDT	Yes	KLS/KLF	USGS	7.11	4470				Fair	0.00	0.30	VegetationModerate	MEAS	1	MAIN	MBOT	QADCP	VADCP	4470	326	1600	2.79	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	6000.00
USGS	06074000	79	2015-09-11 10:47:38	MDT	Yes	CBR/MJW	USGS	6.96	4150				Fair	0.00	0.50	VegetationModerate	MEAS	1	Main	MBOT	QADCP	VADCP	4150	353	2170	1.91	FIRM	GRVL	EVEN	unkn	EVEN	STND	DNST	5240.00
USGS	06074000	80	2015-10-29 17:58:30	MDT	Yes	RAC/KLS	USGS	6.69	3350				Fair	0.01	0.30	VegetationModerate	MEAS	1	MAIN	MBOT	QADCP	VADCP	3350	347	1180	2.84	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	7900.00
USGS	06074000	81	2016-03-10 14:11:36	MST	Yes	KDS	USGS	6.77	4120				Fair			Clear	MEAS	1	Main	MBOT	QADCP	VADCP	4120	360	1830	2.25	SOFT	SAND	EVEN	unkn	EVEN	STND	DNST	27670.00
USGS	06074000	82	2016-05-02 17:04:06	MDT	Yes	KLS/KPD	USGS	7.20	4930				Fair			Clear	MEAS	1	Main	MBOT	QADCP	VADCP	4930	329	1680	2.93	FIRM	GRVL	EVEN	unkn	UNSP	STND	UNSP	
USGS	06074000	83	2016-06-09 11:49:00	MDT	Yes	CBR/KPD	USGS	7.51	5830				Fair			Clear	MEAS	1	Main	MBOT	QADCP	VADCP	5830	361	2490	2.32	FIRM	CBLS	EVEN	unkn	EVEN	UNKN	DNST	8000.00
USGS	06074000	84	2016-07-21 09:03:08	MDT	Yes	CBR/KLS	USGS	7.08	4280				Fair			VegetationModerate	MEAS	1	Main	MBOT	QADCP	VADCP	4280	350	2030	2.11	FIRM	CBLS	UNEV	unkn	UNEV	UNSP	DNST	6000.00
USGS	06074000	85	2016-09-27 14:52:30	MDT	Yes	KDV/KLS	USGS	6.81	3620				Fair	0.00		VegetationModerate	MEAS	1	MAIN	MBOT	QADCP	VADCP	3620	349	1900	1.91	FIRM	CBLS	EVEN	unkn	UNEV	STND	DNST	6000.00
USGS	06074000	86	2016-11-30 12:29:14	MST	Yes	KDS/CBR	USGS	6.93	4120				Poor			VegetationLight	MEAS	1	Main	MBOT	QADCP	VADCP	4120	316	3120	1.32	FIRM	CBLS	UNEV	unkn	UNEV	STND	DNST	6000.00
USGS	06074000	87	2017-04-05 15:50:40	MDT	Yes	AW/KDS	USGS	7.10	4950				Fair	0.00	0.25	Clear	MEAS	1	Main	MBOT	QADCP	VADCP	4950	333	1670	2.96	FIRM	CBLS	EVEN	unkn	EVEN	STND	DNST	8000.00
