#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:32 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06090300 Missouri River near Great Falls MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06090300	86	1975-11-05		Yes	EOL	USGS	2.38	10400				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10400	588	2930	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	87	1976-01-08		Yes	EOL	USGS	1.64	6980				Good	0.00	1.50	IceShore	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6980	584	2450	2.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	88	1976-03-08		Yes	EOL	USGS	2.38	10200				Good			Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10200	590	2900	3.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	89	1976-05-04		Yes	EOL	USGS	3.85	19700				Fair	0.05	1.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	19700	596	3780	5.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	90	1976-07-08		Yes	CLC	USGS	2.74	12000				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	12000	590	3040	3.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	91	1976-09-07		Yes	CLC	USGS	1.78	7580				Unspecified	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7580	580	2480	3.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	92	1976-11-18		Yes	CLC/RL	USGS	1.65	7080				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7080	585	2450	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	93	1977-02-01		Yes	GL /RC	USGS	1.94	8050				Fair	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	8050	585	2630	3.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	94	1977-06-30		Yes	RRS/WE	USGS	0.30	2390				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2390	550	1660	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	95	1977-08-04		Yes	MM	USGS	4.40	3970				Fair	-0.07	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3970	575	1880	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	96	1977-08-31		Yes	MM /JE	USGS	4.77	5990				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5990	582	2180	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	97	1977-10-05		Yes	RRS/NAM	USGS	4.42	3780				Fair	0.03	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3780	580	2100	1.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	98	1977-11-03		Yes	NAM	USGS	4.56	5270				Fair	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5270	581	2100	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	99	1977-12-08		Yes	NAM	USGS	4.38	4100				Fair	0.00	1.90	IceShore	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4100	570	1870	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	100	1978-01-24		Yes	NAM	USGS	5.05	7250				Fair	0.00	1.60	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7250	585	2350	3.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	101	1978-03-08		Yes	NAM/RC	USGS	5.25	8370				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	8370	580	2530	3.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	102	1978-03-24		Yes	NAM/WE	USGS	5.59	11200				Fair	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	11200	590	3000	3.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06090300	103	1978-05-04		Yes	NAM	USGS	5.75	11900				Good	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	11900	590	2950	4.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
