#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:35 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06115200 Missouri River near Landusky MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06115200	7	1969-07-01		Yes	KGN/CR	USGS	19.41	31000				Good				MEAS	1	Imported Channel 1	UNSP	other		31000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	18	1970-06-09		Yes	KGN	USGS	20.14	31400				Good				MEAS	1	Imported Channel 1	UNSP	other		31400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	69	1974-10-01		Yes	TF	USGS	12.91	7140				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		7140				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	70	1974-11-05		Yes	TF	USGS	12.22	5970				Good	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		5970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	71	1975-01-07		Yes	KLT/TF	USGS	19.62	6830				Poor	0.02	1.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	6830	570	4120	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	72	1975-02-19		Yes	TF	USGS	18.17	9420				Fair	0.01	1.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	9420	550	4140	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	73	1975-04-23		Yes	KGN	USGS	17.40	19700				Good	-0.03	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		19700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	74	1975-05-14		Yes	KGN	USGS	21.94	35900				Good	0.02	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		35900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06115200	75	1975-06-11		Yes	TF	USGS	20.50	31200				Good	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		31200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
