#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:48:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06335500 LITTLE MISSOURI RIVER AT MARMARTH, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06335500	1	1938-03-27		Yes	BEKKEDAH	USGS	2.38	86.6	****	0.120	-0.500	FAIR	0.00	1.50		UNSP	1	Unspecified	UNSP			86.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	2	1938-05-13		Yes	BKDL,HRB	USGS	1.98	30.4	****	0.00	-1.90	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			30.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	3	1938-06-11		Yes	HARDECK	USGS	2.49	84.3	****	0.00	-1.10	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			84.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	4	1938-06-15		Yes	HARBECK	USGS	3.26	372.0	****	0.00	2.80	GOOD	0.07	1.00		UNSP	1	Unspecified	UNSP			372.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	5	1938-07-09		Yes	HARBECK	USGS	4.02	740.0	****	0.00	0.00	GOOD	-0.02	1.16		UNSP	1	Unspecified	UNSP			740.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	6	1938-07-21		Yes	HARBECK	USGS	2.64	25.7	****	-0.090	-1.20	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			25.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	7	1938-09-23		Yes	HARBECK	USGS	2.73	56.3	****	0.00	0.700	GOOD	0.00	0.66		UNSP	1	Unspecified	UNSP			56.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	8	1938-10-25		Yes	GE HARBE	USGS	2.29	6.90	****	0.00	3.00	UNSP	0.00	0.80		UNSP	1	Unspecified	UNSP			6.90				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	9	1938-12-06		Yes	HRBCK,SC	USGS	2.77	6.50	****	0.00	4.90	UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			6.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	10	1939-05-11		Yes	BEKKEDAH	USGS	2.60	24.6	****	0.140	-1.60	UNSP	0.00	0.50		UNSP	1	Unspecified	UNSP			24.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	11	1939-06-06		Yes	GE HARBE	USGS	3.32	149.0	****	-0.080	-0.700	UNSP	0.00	0.70		UNSP	1	Unspecified	UNSP			149.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	12	1939-06-20		Yes	GE HARBE	USGS	3.28	167.0	****	0.00	0.00	UNSP	0.00	0.80		UNSP	1	Unspecified	UNSP			167.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	13	1939-08-10		Yes	GE HARBE	USGS	2.91	47.4	****	0.00	0.400	UNSP	0.02	0.70		UNSP	1	Unspecified	UNSP			47.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	14	1939-10-11		Yes	TTTL,HRB	USGS	2.51	8.00	****	0.010	-2.40	GOOD	0.00	0.70		UNSP	1	Unspecified	UNSP			8.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	15	1939-11-16		Yes	BLENKARN	USGS	2.62	14.3	****	0.00	-2.10	GOOD	0.13	0.40		UNSP	1	Unspecified	UNSP			14.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	16	1940-03-06		Yes	VDRY,MCR	USGS	4.08	495.0	****	-0.220		GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			495.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	17	1940-03-22		Yes	VAUDREY	USGS	3.87	481.0	****	-0.030		FAIR	0.06	1.00		UNSP	1	Unspecified	UNSP			481.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	18	1940-04-09		Yes	VAUDREY	USGS	3.54	323.0	****	0.050	-0.300	GOOD	0.00	0.80		UNSP	1	Unspecified	UNSP			323.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	19	1940-04-14		Yes	VDRY,TTT	USGS	3.80	477.0	****	0.030	0.200	GOOD	0.00	1.00		UNSP	1	Unspecified	UNSP			477.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	20	1940-05-21		Yes	VAUDREY	USGS	3.20	111.0	****	-0.060	0.00	FAIR	-0.01	1.10		UNSP	1	Unspecified	UNSP			111.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	21	1940-06-22		Yes	VAUDREY	USGS	2.84	54.8	****	0.100	1.90	GOOD	0.00	1.20		UNSP	1	Unspecified	UNSP			54.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	22	1940-08-16		Yes	BLENKARN	USGS	2.77	14.2	****	-0.010	-1.40	GOOD	0.00	0.30		UNSP	1	Unspecified	UNSP			14.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	23	1940-09-21		Yes	GOSHORN	USGS	2.64	3.00	****	0.00	0.00	FAIR	-0.01	0.50		UNSP	1	Unspecified	UNSP			3.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06335500	24	1940-10-07		Yes	VAUDREY	USGS	3.56	296.0	****	-0.020	-0.300	GOOD	0.01	0.80		UNSP	1	Unspecified	UNSP			296.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
