#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:48:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06336000 LITTLE MISSOURI RIVER AT MEDORA, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06336000	1A	1906-04-11		Yes	Chandler	USGS	4.77	584				UNSP				MEAS	1		UNSP	QSCMM		584	89.0	269	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1B	1906-08-29		Yes	Chandler	USGS	7.54	3240				UNSP				MEAS	1		UNSP	QSCMM		3240	196	733	4.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1C	1906-08-30		Yes	EFC	USGS	6.59	2030				UNSP				MEAS	1		UNSP	QSCMM		2030	189	542	3.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1D	1906-08-31		Yes	EFC	USGS	6.01	1230				UNSP				MEAS	1		UNSP	QSCMM		1230	161	412	2.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1E	1906-10-12		Yes	RR	USGS	3.33	33.7				UNSP				MEAS	1		UNSP	QSCMM		33.7	38.0	22.0	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1F	1908-05-15		Yes	PNF	USGS	3.74	366				UNSP				MEAS	1		UNSP	QSCMM		366	48.0	221	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1G	1908-05-27		Yes	PNF	USGS	7.13	3890				UNSP				MEAS	1		UNSP	QSCMM		3890	278	782	4.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1H	1908-08-14		Yes	EFC	USGS	3.46	70.0				UNSP				MEAS	1		UNSP	QSCMM		70.0	53.5	39.0	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1I	1908-08-15		Yes	EFC	USGS	3.50	81.0				UNSP				MEAS	1		UNSP	QSCMM		81.0	54.0	42.0	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1J	1908-08-16		Yes	EFC	USGS	4.28	267				UNSP				MEAS	1		UNSP	QSCMM		267	80.0	87.0	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	1	1927-08-31		Yes	CSH	USGS	2.78	69.6				UNSP				MEAS	1		UNSP	QSCMM		69.6	84.0	48.8	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	2	1927-10-01		Yes	CSH	USGS	2.68	47.4				UNSP				MEAS	1		UNSP	QSCMM		47.4	44.0	31.6	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	3	1928-01-08		Yes	CSH	USGS	2.46	2.20				UNSP			CICE	MEAS	1		UNSP	QSCMM		2.20	30.0	18.5	0.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	4	1928-03-29		Yes	CSH	USGS	10.00	13000				UNSP				MEAS	1		UNSP	QSCMM		13000	344	2350	5.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	5	1928-04-05		Yes	CSH	USGS	7.01	4670				UNSP				MEAS	1		UNSP	QSCMM		4670	251	1280	3.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	6	1928-04-11		Yes	CSH	USGS	6.60	4160				UNSP				MEAS	1		UNSP	QSCMM		4160	244	1090	3.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	7	1928-06-01		Yes	CSH	USGS	11.92	18700				UNSP				MEAS	1		UNSP	QSCMM		18700	306	3570	5.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	8	1928-06-28		Yes	CSH	USGS	2.50	305				UNSP				MEAS	1		UNSP	QSCMM		305	196	254	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	9	1928-07-02		Yes	CSH	USGS	2.29	230				UNSP				MEAS	1		UNSP	QSCMM		230	129	151	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06336000	10	1928-08-27		Yes	WJP	USGS	1.40	35.0				UNSP				MEAS	1		UNSP	QSCMM		35.0	26.0	312	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
