#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:47:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06341000 MISSOURI RIVER AT WASHBURN, ND
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06341000	1	2000-04-10 12:30:00	CDT	Yes	RFL/DRR	USGS	10.58	13900		0.00		GOOD	0.04	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		13900	1020	8160	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	2	2000-04-25 12:40:00	CDT	Yes	RFL/DRR	USGS	10.60	17700		0.00		GOOD	-0.21	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		17700	1050	9470	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	3	2000-05-16 12:20:00	CDT	Yes	RFL/BAS	USGS	11.78	22600		0.00		GOOD	-0.26	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		22600	1060	9660	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	4	2000-07-05 13:05:00	CDT	Yes	LLR/DWW	USGS	11.68	22300		0.00		GOOD	-0.53	3.00		MEAS	1	Unspecified	CRAN	QUNSP		22300	1090	9100	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	5	2000-07-18 11:20:00	CDT	Yes	LLR/LAC	USGS	11.78	22500		0.00		UNSP	-0.11	1.16		MEAS	1	Unspecified	UNSP			22500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	6	2000-08-15 11:00:00	CDT	Yes	LLR/BAS	USGS	11.80	24600		0.00		GOOD	-0.44	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		24600	1100	8630	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	7	2000-09-14 11:15:00	CDT	Yes	LLR/RJR	USGS	10.00	15500		0.00		GOOD	-0.07	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		15500	1060	6210	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	8	2000-10-03 11:40:00	CDT	Yes	RJR/JDH	USGS	10.07	14800		0.00		GOOD	-0.10	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		14800	1060	6090	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06341000	9	2001-04-02 14:25:00	CDT	Yes	RFL/JDH	USGS	8.93	10700		0.00		GOOD	0.06	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		10700	1050	6050	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
