#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:49:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06183450 Big Muddy Creek near Antelope MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06183450	10	1978-04-26		Yes	klt	USGS		32.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		32.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	13	1979-04-18		Yes	KN	USGS	16.15	2680				Good	0.20	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	2680	52.0	698	3.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	14	1979-04-22		Yes	KN	USGS	12.22	1450				Good	-0.20	1.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		1450				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	54	1982-04-14		Yes	JJF/KN	USGS	17.21	2910				Good	0.02	0.60		MEAS	1	Imported Channel 1	UNSP	other		2910				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	55	1982-04-19		Yes	KN	USGS	14.36	1880				Good	-0.14	1.00		MEAS	1	Imported Channel 1	UNSP	other		1880				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	56	1982-04-21		Yes	KN	USGS	10.46	937				Good	-0.06	1.10		MEAS	1	Imported Channel 1	UNSP	other		937				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	86	1984-10-29		Yes	JJF	USGS	1.64	1.43				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.43	3.90	1.29	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	87	1984-12-11		Yes	JJF	USGS	5.73	3.25				Poor	0.00	0.20	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	3.25	3.00	3.31	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	88	1985-01-14		Yes	JJF	USGS		0.64				Poor	0.00	0.10	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	0.64	4.80	1.32	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	89	1985-03-13		Yes	JJF	USGS	4.08	62.4				Fair	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	62.4	26.0	41.5	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	90	1985-03-19		Yes	JJF	USGS	5.69	211				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	211	39.0	108	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06183450	91	1985-03-21		Yes	JJF	USGS	4.39	122				Fair	0.02	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	122	46.0	69.0	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
