#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:49:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09332600 Muddy Creek at Tomsich Butte nr Hanksville, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09332600	1	2005-04-05 15:42:00	MDT	Yes	SJG	USGS	3.91	26.2	 1.0	0.00	5.60	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		26.2	16.8	16.5	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	2	2005-04-08 10:52:00	MDT	Yes	SJG	USGS	4.02	32.5	 1.0	0.00	1.60	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.5	17.6	18.1	1.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	3	2005-05-04 15:41:00	MDT	Yes	SJG	USGS	3.82	19.3	 1.0	0.00	-1.50	GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		19.3	15.4	13.3	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	4	2005-05-17 17:00:00	MDT	Yes	SJG	USGS	5.53	146.0	 1.0	-0.120	-8.20	POOR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		146.0	21.4	47.7	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	4A	2005-06-03		Yes	TAK/SJG	USGS	11.62	1440	 1.0	0.00	-2.00	FAIR				MEAS	1	Unspecified	OTHR	QIDIR		1440				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	5	2005-06-06 16:24:00	MDT	Yes	SJG	USGS	5.64	208.0	 1.0	0.250	-4.60	FAIR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		208.0	24.8	53.7	3.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	6	2005-07-08 10:35:00	MDT	Yes	TSM	USGS	4.14	39.4	 1.0	0.00	-3.40	FAIR	0.00	0.70		MEAS	1	Unspecified	WADE	QUNSP		39.4	17.7	20.6	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	7	2005-08-04 14:22:00	MDT	Yes	SJG	USGS	3.53	7.56	 1.0	0.00	3.80	GOOD	-0.03	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.56	15.3	9.83	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	8	2005-09-14 09:22:00	MDT	Yes	SJG	USGS	3.42	4.13	 1.0	0.00	-4.00	GOOD	-0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		4.13	5.00	8.40	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	8A	2005-10-18		Yes	TAK/SJG	USGS	9.98	1070	 2.0	0.00	4.90	FAIR				MEAS	1	Unspecified	OTHR	QIDIR		1070				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	9	2005-10-25 09:35:00	MDT	Yes	SJG	USGS	3.68	13.2	 2.0	-0.060	-4.30	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		13.2	16.0	10.0	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	10	2005-11-08 16:10:00	MST	Yes	TAK	USGS	3.87	21.1	 2.0	-0.080	-2.30	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		21.1	16.7	13.4	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	11	2006-01-04 15:00:00	MST	Yes	SJG	USGS	4.00	31.1	 2.0	-0.050	1.00	GOOD	0.04	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.1	17.2	17.6	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	12	2006-03-09 13:52:00	MST	Yes	SJG	USGS	3.84	23.2	 2.0	-0.020	0.00	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		23.2	17.1	15.3	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	13	2006-04-13 15:04:00	MDT	Yes	SJG	USGS	3.90	27.9	 2.0	0.00	0.700	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		27.9	17.3	16.9	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	14	2006-05-12 08:29:00	MDT	Yes	SJG	USGS	4.48	71.3	 2.0	0.00	-4.90	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.3	19.5	28.6	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	15	2006-05-30 14:05:00	MDT	Yes	SJG	USGS	4.82	111.0	 2.0	0.00	1.80	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		111.0	19.9	34.9	3.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	16	2006-06-23 07:56:00	MDT	Yes	SJG	USGS	3.80	23.1	 2.0	0.00	4.10	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		23.1	16.8	13.7	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	17	2006-07-12 16:52:00	MDT	Yes	SJG	USGS	3.56	10.9	 2.0	-0.020	0.00	GOOD	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		10.9	16.3	10.7	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	18	2006-08-03 18:00:00	MDT	Yes	SJG	USGS	3.46	8.00	 2.0	0.00	-3.50	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		8.00	15.5	9.22	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	19	2006-08-25 10:11:00	MDT	Yes	SJG	USGS	3.68	14.4	 2.0	-0.050	1.40	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.4	16.6	9.94	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	20	2006-10-03 16:08:00	MDT	Yes	SJG	USGS	3.48	6.54	 2.0	-0.080	-1.20	FAIR	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.54	16.7	7.08	0.920	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09332600	21	2015-10-28 09:12:30	MDT	Yes	MLF/SJG	USGS		10.6				GOOD		0.45		MEAS	1	MAIN	WADE	QSCMM	VADV	10.6	14.4	8.01	1.32	FIRM	GRVL	EVEN	STDY	EVEN	STND	UNSP	
