#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:49:48 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 385202111121601 MUDDY CREEK BL MILLER CANYON NR EMERY, UTAH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	385202111121601	1	2015-04-28 10:59:30	MDT	Yes	MLF/VND	USGS	1.23	0.93	 1.0		-15.5	FAIR	0.00	0.35	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	0.93	6.70	2.32	0.40	FIRM	BLDR	EVEN	STDY	EVEN	UNKN	DNST	25.00
USGS	385202111121601	2	2015-04-28 11:40:30	MDT	Yes	MLF/VND	USGS	1.23	0.99	 1.0	-0.02	4.2	FAIR	0.00	0.55	CLER	MEAS	1	main2	WADE	QSCMM	VADV	0.99	4.70	1.49	0.66	FIRM	CBLS	EVEN	STDY	EVEN	UNKN	DNST	90.00
USGS	385202111121601	3	2015-04-29 11:21:30	MDT	Yes	SJG	USGS	0.98	0.050	 1.0	0.02	4.2	POOR		0.02	CLER	MEAS	1	main	OTHR	Q-EST	V-EST	0.050				FIRM	CBLS	UNEV	UNSP	UNEV	UNKN	DNST	20.00
USGS	385202111121601	4	2015-05-11 16:57:30	MDT	Yes	MLF/KKJ	USGS	0.98	0.038	 1.0	0.02	-20.8	POOR	0.00	0.22	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	0.038	4.40	0.72	0.05	FIRM	SAND	EVEN	STDY	UNEV	STND	DNST	40.00
USGS	385202111121601	5	2015-05-11 17:16:00	MDT	Yes	MLF/KKJ	USGS	0.98	0.019	 1.0	0.02	-58.3	POOR	0.00	0.17	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	0.019	4.40	0.76	0.03	FIRM	SAND	EVEN	STDY	UNEV	STND	DNST	40.00
USGS	385202111121601	6	2015-05-11 17:35:30	MDT	Yes	MLF/KKJ	USGS	0.98	0.046	 1.0	0.02	-4.2	POOR	0.00	0.15	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	0.046	4.40	0.68	0.07	FIRM	SAND	EVEN	STDY	UNEV	STND	DNST	40.00
USGS	385202111121601	7	2015-05-11 17:46:30	MDT	Yes	MLF/KKJ	USGS	0.98	0.052	 1.0	0.02	8.3	POOR	0.00	0.12	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	0.052	4.40	0.69	0.08	FIRM	SAND	EVEN	STDY	UNEV	STND	DNST	40.00
USGS	385202111121601	8	2015-06-16 17:25:30	MDT	Yes	MLF	USGS	2.31	27.9	 1.0	0.00	2.6	GOOD	0.00	0.48	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	27.9	11.3	12.2	2.29	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	50.00
USGS	385202111121601	9	2015-06-17 07:53:30	MDT	Yes	MLF	USGS	2.31	26.7	 1.0	0.00	-1.8	GOOD	0.00	0.48	CLER	MEAS	1	MAIN	WADE	QSCMM	VADV	26.7	10.5	11.5	2.32	FIRM	CBLS	EVEN	STDY	EVEN	STND	DNST	50.00
