#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:49:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06120500 Musselshell River at Harlowton MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06120500	491	1967-06-01		Yes	NDH/DEG	USGS	7.10	2560				Good	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		2560				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	493	1967-06-15		Yes	JHD	USGS	7.51	2860				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		2860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	585	1975-06-19		Yes	WRT	USGS	8.51	4200				Fair	0.45	1.50	DebrisHeavy	MEAS	1	Imported Channel 1	UNSP	other		4200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	587	1975-06-21		Yes	WRT/WJP	USGS	8.00	4250				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	other		4250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	586	1975-06-21		Yes	WRT/WJP	USGS	9.62	6400				Fair	-0.18	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		6400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	636	1979-06-20		Yes	M.J/JAH	USGS	9.12	4630				Fair	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		4630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	637	1979-06-21		Yes	M.J/JAH	USGS	7.93	3840				Fair	-0.08	0.50		MEAS	1	Imported Channel 1	UNSP	other		3840				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	638	1979-06-22		Yes	JDP/DWL	USGS	6.69	2690				Fair	-0.05	1.00		MEAS	1	Imported Channel 1	UNSP	other		2690				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	665	1981-05-23		Yes	WJP/TIF	USGS	6.62	2300				Fair	0.05	1.10		MEAS	1	Imported Channel 1	UNSP	other		2300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	666	1981-05-24		Yes	JLF	USGS	6.93	2680				Fair	-0.02	1.30		MEAS	1	Imported Channel 1	UNSP	other		2680				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	690	1983-08-24		Yes	JLF	USGS	2.43	171				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	171	57.5	78.0	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	691	1983-10-17		Yes	TIF	USGS	2.04	92.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	92.9	55.0	57.4	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	692	1983-11-07		Yes	TIF	USGS	1.88	65.2				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.2	54.0	51.6	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	693	1983-12-27		Yes	TIF	USGS	2.43	31.7				Poor	-0.01	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	31.7	56.0	26.2	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	694	1984-01-31		Yes	TIF	USGS	2.73	79.0				Fair	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.0	54.0	56.0	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	695	1984-03-12		Yes	TIF	USGS	1.87	68.6				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	68.6	55.0	48.1	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	696	1984-04-24		Yes	TIF	USGS	2.86	275				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	275	58.0	98.0	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06120500	697	1984-05-17		Yes	JLF	USGS	3.91	626				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	626	80.0	182	3.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
