#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:01 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06122800 Musselshell River nr Shawmut MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06122800	1	1986-03-19		Yes	LM	USGS	0.84	2.55				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.55	12.6	3.27	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	2	1986-04-15		Yes	LM	USGS	1.02	11.6				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.6	27.5	17.7	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	3	1986-05-28		Yes	TIF	USGS	1.18	22.3				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.3	26.0	23.7	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	4	1986-07-25		Yes	LM	USGS	1.28	31.7				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.7	29.0	32.9	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	5	1986-09-02		Yes	LM	USGS	1.33	36.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.0	29.0	28.5	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	6	1986-10-09 13:36:00	MDT	Yes	LM	USGS	1.01	10.4				Good	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.4	25.0	13.6	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	7	1987-02-18 09:28:00	MST	Yes	LM	USGS	0.77	0.67				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.67	4.60	0.75	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	8	1987-04-02 10:53:00	MST	Yes	LM	USGS	0.78	0.97				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.97	4.60	0.74	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	9	1987-05-18 12:51:00	MDT	Yes	LM	USGS	1.29	34.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	34.0	28.0	25.1	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	10	1987-06-10 10:10:00	MDT	Yes	LM	USGS	1.48	53.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	53.9	28.5	30.0	1.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	11	1987-07-16 11:05:00	MDT	Yes	LM	USGS	1.24	30.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	30.0	24.5	30.9	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	12	1987-08-20 10:26:00	MDT	Yes	LM	USGS	1.10	16.4				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.4	29.0	24.4	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	13	1987-10-01 11:46:00	MDT	Yes	LM	USGS	0.92	5.07				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.07	25.0	13.0	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	14	1987-11-10 10:49:00	MST	Yes	LM	USGS	1.43	39.4				Good	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.4	28.0	33.1	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	15	1988-03-02 14:15:00	MST	Yes	TIF	USGS	0.86	3.31				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.31	15.0	5.83	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	16	1988-04-20 14:40:00	MDT	Yes	TIF	USGS	0.73	0.51				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.51	4.20	0.59	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	17	1988-05-17 11:45:00	MDT	Yes	TIF	USGS	1.21	25.6				Good	0.00	0.40	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	25.6	28.0	26.4	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	18	1988-06-30 14:25:00	MDT	Yes	TIF	USGS	0.98	8.69				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.69	27.0	20.5	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	19	1988-08-16 13:40:00	MDT	Yes	TIF	USGS	0.70	0.50				Fair	0.00	1.00	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.50	4.80	1.09	0.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	20	1988-09-28 14:00:00	MDT	Yes	TIF	USGS	0.67	0.10				Poor	0.00	0.20	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.10	3.70	0.86	0.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	21	1988-11-09 14:10:00	MST	Yes	TIF	USGS	0.64	0.20				Poor	0.00	0.20	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.20	4.30	0.49	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	22	1989-03-24 14:10:00	MST	Yes	TIF	USGS	0.96	8.08				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.08	27.0	16.4	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	23	1989-05-15 11:55:00	MDT	Yes	JLF	USGS	1.13	19.1				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	19.1	28.5	24.8	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	24	1989-06-28 13:40:00	MDT	Yes	JLF	USGS	1.15	17.8				Good	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	17.8	28.0	27.1	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	25	1989-08-09 09:30:00	MDT	Yes	JLF	USGS	1.10	13.1				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.1	27.8	22.9	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	26	1989-09-20 14:40:00	MDT	Yes	JLF	USGS	0.94	4.44				Good	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.44	26.6	20.1	0.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	27	1989-11-08 08:25:00	MST	Yes	JLF	USGS	0.85	1.82				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.82	26.3	17.4	0.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	28	1990-02-28 08:55:00	MST	Yes	JLF	USGS	0.71	0.36				Fair	0.00	0.40	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.36	4.40	1.06	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	29	1990-05-02 09:40:00	MDT	Yes	JLF	USGS	0.75	0.49				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.49	4.70	1.36	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	30	1990-05-31 11:45:00	MDT	Yes	JLF	USGS	3.11	337				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	337	90.0	273	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	31	1990-06-05 08:10:00	MDT	Yes	JLF	USGS	2.10	126				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	126	45.8	56.6	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	32	1990-08-08 09:20:00	MDT	Yes	JLF	USGS	1.26	27.3				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	27.3	27.6	25.4	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	33	1990-09-26 09:45:00	MDT	Yes	JLF	USGS	0.74	1.01				Fair	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.01	6.40	2.14	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	34	1990-11-13 13:15:00	MST	Yes	JLF	USGS	0.80	1.37				Fair	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.37	6.90	2.78	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	35	1991-03-20 10:35:00	MST	Yes	JLF	USGS	1.05	0.31				Poor	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.31	6.20	2.71	0.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	36	1991-05-01 13:20:00	MDT	Yes	JLF	USGS	1.04	0.54				Poor	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.54	5.20	1.11	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	37	1991-05-20 12:35:00	MDT	Yes	JLF	USGS	5.47	1380				Fair	0.02	1.10		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	1380	97.0	413	3.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	38	1991-05-21 12:55:00	MDT	Yes	JLF	USGS	5.75	2010				Fair	0.09	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2010	100	480	4.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	39	1991-05-22 10:50:00	MDT	Yes	JLF	USGS	5.60	1870				Good	-0.01	1.10		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1870	99.0	460	4.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	40	1991-05-29 09:26:00	MDT	Yes	LAM	USGS	4.29	925				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	925	96.0	329	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	41	1991-06-03 09:40:00	MDT	Yes	JLF	USGS	3.55	490				Good	-0.01	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	490	109	248	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	42	1991-06-07 07:20:00	MDT	Yes	JLF	USGS	6.48	2720				Good	-0.11	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2720	103	529	5.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	43	1991-06-26 09:00:00	MDT	Yes	JLF	USGS	4.10	583				Good	-0.01	0.70	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	583	110	251	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	44	1991-07-10 11:30:00	MDT	Yes	JLF	USGS	2.83	190				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	190	54.0	74.8	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	45	1991-08-12 09:25:00	MDT	Yes	JLF	USGS	1.58	14.9				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.9	25.0	22.8	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	46	1991-09-25 10:40:00	MDT	Yes	JLF	USGS	1.42	9.13				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.13	21.0	18.6	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	47	1991-11-13 07:50:00	MST	Yes	JLF	USGS	1.48	2.19				Poor	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.19	7.50	1.37	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	48	1992-03-25 10:55:00	MST	Yes	JLF	USGS	1.15	0.31				Fair	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.31	2.80	0.71	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	49	1992-04-01 09:10:00	MST	Yes	JLF	USGS	1.25	0.22				Poor	0.00	0.30	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.22	2.30	0.76	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	50	1992-04-15 10:05:00	MDT	Yes	JLF	USGS	1.36	0.28				Poor	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.28	4.70	107	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	51	1992-04-24 08:50:00	MDT	Yes	JLF	USGS	1.45	0.68				Unspecified	0.00	0.40	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.68	4.70	1.02	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	52	1992-05-12 11:25:00	MDT	Yes	JLF	USGS	1.95	15.5				Good	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.5	23.9	13.8	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06122800	53	1992-05-18 08:30:00	MDT	Yes	JLF	USGS	1.68	8.02				Fair	0.00	0.50	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.02	23.0	10.0	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
