#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06123030 Musselshell River ab Mud Cr nr Shawmut MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06123030	1	1998-06-18 08:45:00	MDT	Yes	JLF	USGS	3.69	365				Good	0.02	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	365	88.5	129	2.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	2	1998-06-24 10:25:00	MDT	Yes	JLF	USGS	4.34	600				Fair	-0.02	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	600	102	176	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	3	1998-07-09 09:15:00	MDT	Yes	JLF	USGS	3.43	236				Fair	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	236	88.0	106	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	4	1998-07-14 13:00:00	MDT	Yes	JLF	USGS	3.46	240				Fair	-0.02	0.90	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	240	89.5	114	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	5	1998-07-24 12:40:00	MDT	Yes	JLF	USGS	2.96	74.2				Good	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	74.2	69.0	77.8	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	6	1998-08-24 14:00:00	MDT	Yes	SVL	USGS	2.98	95.6				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	95.6	75.0	109	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	7	1998-09-30 12:15:00	MDT	Yes	PLK/SWN	USGS	2.83	62.8				Good	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	62.8	52.0	50.0	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	8	1998-11-04 12:15:00	MST	Yes	SVL	USGS	2.77	53.8				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	53.8	60.0	61.9	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06123030	9	1999-03-17 12:30:00	MST	Yes	JLF	USGS	2.65	52.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.5	57.0	54.3	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
