#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06126050 Musselshell River near Lavina MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06126050	1	1992-03-20 12:45:00	MST	Yes	JLF	USGS	2.23	31.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.5	39.0	29.3	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	2	1992-03-27 13:10:00	MST	Yes	JLF	USGS	2.20	26.8				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	26.8	35.3	25.2	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	3	1992-04-01 11:20:00	MST	Yes	JLF	USGS	2.17	22.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.9	33.0	23.6	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	4	1992-04-15 12:50:00	MDT	Yes	JLF	USGS	2.15	19.8				Good	0.01	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.8	32.0	22.0	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	5	1992-05-11 13:00:00	MDT	Yes	JLF	USGS	3.17	227				Good	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	227	80.0	106	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	6	1992-05-18 10:35:00	MDT	Yes	JLF	USGS	3.05	199				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	199	83.5	101	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	7	1992-06-01 11:50:00	MDT	Yes	JLF	USGS	3.11	217				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	217	83.5	107	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	8	1992-06-04 09:05:00	MDT	Yes	JLF	USGS	2.46	60.8				Good	-0.03	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	60.8	57.5	45.7	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126050	9	1992-06-05 08:40:00	MDT	Yes	JLF	USGS	2.34	44.4				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	44.4	46.8	37.9	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
