#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:02 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06126500 Musselshell River near Roundup MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06126500	201	1924-05-18		Yes	gra	USGS	4.02	1240				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1240				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	202	1924-06-13		Yes	gra	USGS	2.95	440				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		440				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	203	1924-08-02		Yes	gra	USGS		16.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		16.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	204	1925-07-11		Yes	hei	USGS		123				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		123				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	372	1975-05-12		Yes	WRT/JLF	USGS	6.60	2050				Fair	-0.06	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		2050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	373	1975-06-11		Yes	WRT	USGS	8.01	2940				Fair	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		2940				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	375	1975-06-21		Yes	MEY	USGS	8.50	3060				Fair	0.20	2.30	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		3060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	376	1975-06-22		Yes	MEY/JLF	USGS	12.59	7000				Fair	0.33	1.50	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		7000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	377	1975-06-23		Yes	WRT/MEY	USGS	12.38	6710				Fair	-0.05	1.10	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		6710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	378	1975-06-26		Yes	WRT	USGS	8.80	3180				Fair	0.02	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		3180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	412	1978-03-24		Yes	DEG/TIF	USGS	8.39	3520				Fair	-0.35	1.30		MEAS	1	Imported Channel 1	UNSP	other		3520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	425	1979-03-11		Yes	LAM/DWL	USGS	7.61	3390				Good	-0.12	1.80		MEAS	1	Imported Channel 1	UNSP	other		3390				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	430	1979-06-23		Yes	JLF/S.H	USGS	9.04	4460				Fair	0.09	1.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		4460				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	431	1979-06-23		Yes	JLF/S.H	USGS	9.02	4470				Fair	0.05	1.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		4470				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06126500	457	1981-05-18		Yes	TIF	USGS	9.01	4540				Poor			Clear	MEAS	1	Imported Channel 1	UNSP	other		4540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
