#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06127500 Musselshell River at Musselshell MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06127500	266	1967-06-05		Yes	T.R	USGS	7.11	2350				Unspecified	0.01	2.30	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		2350				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	267	1967-06-06		Yes	T.R	USGS	6.95	2310				Unspecified	-0.01	1.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		2310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	268	1967-06-09 18:20:00	MDT	Yes	TER/WJP	USGS	11.22	7460				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		7460				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	269	1967-06-10		Yes	TER/WJP	USGS	10.17	5840				Good	-0.03	1.10		MEAS	1	Imported Channel 1	UNSP	other		5840				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	270	1967-06-17		Yes	TER/W.H	USGS	11.15	7990				Unspecified	0.06	1.50		MEAS	1	Imported Channel 1	UNSP	other		7990				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	271	1967-06-19		Yes	TER/W.H	USGS	11.56	9800				Good	-0.01	1.80		MEAS	1	Imported Channel 1	UNSP	other		9800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	272	1967-06-22		Yes	WJP	USGS	9.70	4710				Good	-0.02	1.20		MEAS	1	Imported Channel 1	UNSP	other		4710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	273	1967-06-28		Yes	T.S	USGS	8.04	2710				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		2710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	368	1975-06-12		Yes	WRT	USGS	7.72	2570				Fair	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		2570				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	369	1975-06-22		Yes	JLF/MEY	USGS	8.41	3050				Good	0.06	1.20	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		3050				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	370	1975-06-23		Yes	MEY/WRT	USGS	10.64	6490				Fair	0.28	1.30	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		6490				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	371	1975-06-26		Yes	WRT	USGS	8.95	3830				Fair	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		3830				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	403	1978-03-23		Yes	TIF	USGS	10.50	5980				Fair	0.04	1.10	DebrisModerate	MEAS	1	Imported Channel 1	UNSP	other		5980				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	404	1978-03-24		Yes	DEG	USGS	10.70	6550				Good	-0.14	1.90		MEAS	1	Imported Channel 1	UNSP	other		6550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	421	1979-06-24		Yes	JLF/SAH	USGS	9.06	3980				Good	0.03	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		3980				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	437	1983-08-23		Yes	JLF	USGS	2.99	237				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	237	103	169	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	438	1983-10-19		Yes	TIF	USGS	2.52	110				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	110	98.0	127	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06127500	439	1983-11-09		Yes	TIF	USGS	2.42	87.5				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.5	96.0	114	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
