#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06130500 Musselshell River at Mosby MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06130500	613	1982-06-09		Yes	M.J	USGS	8.29	3620				Good	-0.17	1.00		MEAS	1	Imported Channel 1	UNSP	other		3620				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	614	1982-06-24		Yes	M.J	USGS	6.92	2330				Good	0.07	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		2330				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	626	1983-09-26		Yes	KGN	USGS	3.27	118				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	118	86.0	106	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	627	1983-11-08		Yes	TIF	USGS	3.15	103				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	103	46.0	50.0	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	628	1983-12-28		Yes	TIF	USGS	3.63	38.5				Fair	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	38.5	41.0	31.6	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	629	1984-02-01		Yes	TIF	USGS	5.14	256				Poor	0.05	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	256	85.0	128	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	630	1984-03-14		Yes	TIF	USGS	3.30	147				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	147	53.0	61.8	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	631	1984-04-26		Yes	TIF	USGS	3.46	192				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	192	52.0	72.1	2.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	632	1984-06-06		Yes	TIF	USGS	3.16	120				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	120	50.0	55.0	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06130500	633	1984-07-18		Yes	TIF	USGS	2.08	0.40				Poor	0.00	0.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.40	2.70	0.44	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
