#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:28 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07179300 NEOSHO R NR PARKERVILLE, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07179300	1	2008-02-07 12:15:00	CST	Yes	USACE	USCE	7.85	6.84				FAIR		0.50	UNSP	UNSP	1		BRDS	QADCP	VADCP	6.84				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	2	2009-04-27 12:15:00	CDT	Yes	USACE	USCE	12.62	1100				FAIR		0.50	UNSP	UNSP	1		BRDS	QADCP	VADCP	1100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	3	2009-09-04 12:15:00	CDT	Yes	USACE	USCE	9.34	175				FAIR		0.50	UNSP	UNSP	1		BRDS	QADCP	VADCP	175				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	4	2009-09-04 12:45:00	CDT	Yes	USACE	USCE	8.52	77.0				FAIR			UNSP	UNSP	1	Channel 1	UNSP	QADCP	VADCP	77.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	5	2010-03-24 12:15:00	CDT	Yes	USACE	USCE	7.82	20.0				FAIR		0.50	UNSP	UNSP	1		WADE	QSCMM	VADV	20.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	6	2010-04-22 12:15:00	CDT	Yes	USACE	USCE	15.85	2900				FAIR		0.50	UNSP	UNSP	1		BRDS	QADCP	VADCP	2900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	7	2010-04-22 12:45:00	CDT	Yes	USACE	USCE	14.82	2300				FAIR			UNSP	UNSP	1	Channel 1	UNSP	QADCP	VADCP	2300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	8	2010-04-22 13:15:00	CDT	Yes	USACE	USCE	13.85	1720				FAIR			UNSP	UNSP	1	Channel 1	UNSP	QADCP	VADCP	1720				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	9	2010-04-23 12:15:00	CDT	Yes	USACE	USCE	10.79	597				FAIR		0.50	UNSP	UNSP	1		BRDS	QADCP	VADCP	597				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	10	2010-04-23 12:45:00	CDT	Yes	USACE	USCE	10.63	533				FAIR			UNSP	UNSP	1	Channel 1	UNSP	QADCP	VADCP	533				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07179300	11	2012-01-27 12:15:00	CST	Yes	USACE	USCE	7.48	5.00				FAIR		0.50	UNSP	UNSP	1		WADE	QSCMM	VADV	5.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
