#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:39 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07185000 Neosho River near Commerce, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07185000	922	1980-09-16		Yes	LAG	USGS	2.17	52.7				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.7	52.0	27.2	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	923	1980-10-06		Yes	LAG	USGS	2.20	65.8				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.8	52.0	34.7	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	924	1981-01-22		Yes	LAG	USGS	2.02	25.1				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	25.1	45.0	20.2	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	925	1981-03-13		Yes	LAG	USGS	2.04	26.8				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	26.8	41.0	29.2	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	926	1981-04-09		Yes	LAG	USGS	1.95	17.2				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	17.2	40.0	25.9	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	927	1981-06-18		Yes	LAG	USGS	6.77	6650				Good	-0.39	2.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6650	255	1640	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	928	1981-07-16		Yes	LAG	USGS	4.10	1740				Good	-0.09	2.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1740	233	934	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	929	1981-08-05		Yes	LAG	USGS	4.70	2680				Good	-0.02	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2680	233	1070	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	930	1981-09-02		Yes	LAG	USGS	10.03	11600				Good	0.21	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11600	248	2430	4.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	931	1981-09-03		Yes	LAG	USGS	9.37	9830				Good	-0.25	1.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9830	253	2260	4.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	932	1981-10-14		Yes	LAG	USGS	2.50	177				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	177	78.0	73.3	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07185000	933	1981-11-11		Yes	LAG	USGS	8.16	8930				Good	0.02	1.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8930	243	1940	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
