#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:50:55 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02089000 NEUSE RIVER NEAR GOLDSBORO, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02089000	1	1929-10-04 04:00:00	EST	Yes	LJH	USGS	19.19	16000		0.00		UNSP	0.03	1.75		MEAS	1	Unspecified	CRAN	QUNSP		16000	368	4980	3.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	2	1929-10-05 03:45:00	EST	Yes	LJH	USGS	25.25	38300		0.00		UNSP	-0.10	2.25		MEAS	1	Unspecified	CRAN	QUNSP		38300	1020	12800	3.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	3	1930-02-25 06:00:00	EST	Yes	EDB	USGS	5.62	2350		0.00		UNSP	0.00	0.80		MEAS	1	Unspecified	CRAN	QUNSP		2350	150	1580	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	4	1930-03-28 11:10:00	EST	Yes	HWP	USGS	4.09	1580		0.00		UNSP	-0.04	1.25		MEAS	1	Unspecified	CRAN	QUNSP		1580	132	1320	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	5	1930-05-15 03:45:00	EST	Yes	HWP	USGS	2.41	741.0		0.00		FAIR	0.02	1.25		MEAS	1	Unspecified	CRAN	QUNSP		741.0	89.0	256	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	6	1930-07-21 04:40:00	EST	Yes	KJ	USGS	6.55	3010		0.00		GOOD	0.09	1.75		MEAS	1	Unspecified	CRAN	QUNSP		3010	146	1690	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	7	1930-09-26 12:25:00	EST	Yes	EDB	USGS	0.81	294.0		0.00		UNSP	0.01	0.75		MEAS	1	Unspecified	UNSP			294.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	8	1930-11-08 11:40:00	EST	Yes	AGH	USGS	2.13	769.0		0.00		UNSP	-0.04	1.70		MEAS	1	Unspecified	CRAN	QUNSP		769.0	127	910	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	9	1931-01-13 02:30:00	EST	Yes	AGH	USGS	4.40	1850		0.00		FAIR	0.13	1.80		MEAS	1	Unspecified	CRAN	QUNSP		1850	150	1100	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	10	1931-02-22 03:30:00	EST	Yes	RWS	USGS	3.65	1720		0.00		UNSP	-0.01	1.75		MEAS	1	Unspecified	CRAN	QUNSP		1720	134	1230	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	11	1931-04-10 10:00:00	EST	Yes	AGH	USGS	12.65	7000		0.00		GOOD	0.06	2.20		MEAS	1	Unspecified	CRAN	QUNSP		7000	171	1840	3.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02089000	12	1931-05-17 10:45:00	EST	Yes	RWS	USGS	5.07	1940		0.00		FAIR	-0.04	1.70		MEAS	1	Unspecified	CRAN	QUNSP		1940	153	1370	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
