#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:51:13 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03168000 NEW RIVER AT ALLISONIA, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03168000	1	1930-01-07 17:15:00	EST	Yes	TFH/JJD	USGS	2.64	4750				UNSP				MEAS	1		UNSP	QSCMM		4750	463	3000	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	2	1930-03-14		Yes	RWS/ARG	USGS	3.24	6900				UNSP				MEAS	1		UNSP	QSCMM		6900	468	3190	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	3	1930-03-15 12:30:00	EST	Yes	RWS/ARG	USGS	1.38	1270				UNSP				MEAS	1		UNSP	QSCMM		1270	462	2350	0.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	4	1930-03-15 22:40:00	EST	Yes	RWS/ARG	USGS	2.88	5260				UNSP				MEAS	1		UNSP	QSCMM		5260	465	3020	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	6	1930-03-16 16:27:00	EST	Yes	RWS/ARG	USGS	1.79	2150				UNSP				MEAS	1		UNSP	QSCMM		2150	462	2550	0.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	5	1930-03-16 16:30:00	EST	Yes	RWS/ARG	USGS	1.63	1720				UNSP				MEAS	1		UNSP	QSCMM		1720	462	2460	0.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	7	1930-06-27 10:50:00	EST	Yes	RWS/ARG	USGS	0.96	743				UNSP				MEAS	1		UNSP	QSCMM		743	270	307	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	8	1931-01-03 12:00:00	EST	Yes	JJD/HCE	USGS	1.80	2200				UNSP				MEAS	1		UNSP	QSCMM		2200	464	2460	0.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	9	1931-01-30 14:00:00	EST	Yes	ADA/TFH	USGS	1.18	1000				UNSP				MEAS	1		UNSP	QSCMM		1000	460	2190	0.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	10	1931-04-03 12:35:00	EST	Yes	PNS/FFS	USGS	3.45	7900				UNSP				MEAS	1		UNSP	QSCMM		7900	469	3170	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	11	1931-04-15		Yes	ARG	USGS	2.33	3920				UNSP				MEAS	1		UNSP	QSCMM		3920	465	2760	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	12	1931-05-08 13:35:00	EST	Yes	PNS/TFH	USGS	3.20	6930				UNSP				MEAS	1		UNSP	QSCMM		6930	468	3140	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	13	1931-05-21 14:50:00	EST	Yes	FFS	USGS	3.20	6810				UNSP				MEAS	1		UNSP	QSCMM		6810	468	3020	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	14	1931-06-04 14:05:00	EST	Yes	ODM/TFH	USGS	1.46	1410				UNSP				MEAS	1		UNSP	QSCMM		1410	458	2170	0.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03168000	15	1931-09-03 17:05:00	EST	Yes	FFS/EAG	USGS	1.82	2660				UNSP				MEAS	1		UNSP	QSCMM		2660	457	2240	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
