#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:51:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03176500 NEW RIVER AT GLEN LYN, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03176500	1	1927-09-02		Yes	jjd	USGS	2.90	1900				UNSP				MEAS	1		UNSP	QSCMM		1900	715	2840	0.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	2	1927-10-04		Yes	nbu/fcc	USGS	2.43	1230				UNSP				MEAS	1		UNSP	QSCMM		1230	710	2490	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	3	1927-12-20		Yes	nbu/odm	USGS	4.93	7630				UNSP				MEAS	1		UNSP	QSCMM		7630	722	4300	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	4	1928-02-06		Yes	nbu/odm	USGS	3.85	4030				UNSP				MEAS	1		UNSP	QSCMM		4030	726	3500	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	5	1928-04-30		Yes	nbu	USGS	6.27	12700				UNSP				MEAS	1		UNSP	QSCMM		12700	733	5190	2.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	6	1930-12-17		Yes	jjd/arg	USGS	2.71	1280				UNSP				MEAS	1		UNSP	QSCMM		1280	659	2310	0.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	7	1931-01-11		Yes	jjd/hce	USGS	3.42	2720				UNSP				MEAS	1		UNSP	QSCMM		2720	688	2880	0.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	8	1931-01-31		Yes	jjd/arg	USGS	3.08	2020				UNSP				MEAS	1		UNSP	QSCMM		2020	679	2600	0.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	9	1931-02-05		Yes	tfh/hce	USGS	2.99	1760				UNSP				MEAS	1		UNSP	QSCMM		1760	670	2490	0.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	10	1931-04-14		Yes	arg	USGS	4.48	5750				UNSP				MEAS	1		UNSP	QSCMM		5750	712	3520	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	11	1931-05-23		Yes	ffs	USGS	5.82	10900				UNSP				MEAS	1		UNSP	QSCMM		10900	704	4340	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03176500	12	1931-09-04		Yes	ffs/eag	USGS	3.68	3490				UNSP				MEAS	1		UNSP	QSCMM		3490	695	2920	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
