#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:51:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06454100 Niobrara River at Agate, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06454100	1A	1952-03-06		Yes	Wilgus	USGS	1.40	27.1				UNSP				MEAS	1		UNSP	QSCMM		27.1		12.8	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	2A	1952-04-15		Yes	Bishop	USGS	1.50	25.7				UNSP				MEAS	1		UNSP	QSCMM		25.7	17.0	17.5	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	3A	1952-05-14		Yes	Bishop	USGS	1.31	18.4				UNSP				MEAS	1		UNSP	QSCMM		18.4		16.2	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	4A	1952-06-03		Yes	Bishop	USGS	1.07	9.70				UNSP				MEAS	1		UNSP	QSCMM		9.70		9.00	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	5A	1952-06-12		Yes	Bishop	USGS	0.82	6.60				UNSP				MEAS	1		UNSP	QSCMM		6.60		8.40	0.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	6A	1952-06-19		Yes	Bishop	USGS		3.20				UNSP				MEAS	1		UNSP	QSCMM		3.20		3.00	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	7A	1952-06-25		Yes	Bishop	USGS	1.00	11.2				UNSP				MEAS	1		UNSP	QSCMM		11.2		7.00	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	8A	1952-07-08		Yes	Bishop	USGS	1.00	4.70				UNSP				MEAS	1		UNSP	QSCMM		4.70		3.90	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	9A	1952-07-22		Yes	Bishop	USGS	1.00	4.40				UNSP				MEAS	1		UNSP	QSCMM		4.40		3.70	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	10A	1952-08-07		Yes	Bishop	USGS	1.13	7.20				UNSP				MEAS	1		UNSP	QSCMM		7.20		5.45	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	11A	1952-08-20		Yes	Bishop	USGS	1.27	10.6				UNSP				MEAS	1		UNSP	QSCMM		10.6		6.90	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	12A	1952-09-04		Yes	Bishop	USGS	1.05	5.00				UNSP				MEAS	1		UNSP	QSCMM		5.00		4.20	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	13A	1952-09-17		Yes	Bishop	USGS	1.08	5.30				UNSP				MEAS	1		UNSP	QSCMM		5.30		4.70	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	14A	1952-11-14		Yes	Bishop	USGS	1.60	19.2				UNSP				MEAS	1		UNSP	QSCMM		19.2	12.0	10.4	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	15A	1952-12-17		Yes	Bishop	USGS	1.66	21.8				UNSP				MEAS	1		UNSP	QSCMM		21.8		12.3	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	16A	1953-01-09		Yes	Bishop	USGS	1.63	21.9				UNSP				MEAS	1		UNSP	QSCMM		21.9		11.9	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	17A	1953-02-04		Yes	Bishop	USGS	1.70	25.1				UNSP				MEAS	1		UNSP	QSCMM		25.1		12.2	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	18A	1953-04-03		Yes	Bishop	USGS	1.61	28.7				UNSP				MEAS	1		UNSP	QSCMM		28.7		12.7	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	19A	1953-04-15		Yes	Bishop	USGS	1.50	22.7				UNSP				MEAS	1		UNSP	QSCMM		22.7		10.2	2.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	20A	1953-05-13		Yes	Bishop	USGS	1.20	12.1				UNSP				MEAS	1		UNSP	QSCMM		12.1		7.60	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	21A	1953-05-27		Yes	Bishop	USGS	1.04	7.80				UNSP				MEAS	1		UNSP	QSCMM		7.80		5.50	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	22A	1953-06-04		Yes	Bishop	USGS	0.95	5.70				UNSP				MEAS	1		UNSP	QSCMM		5.70		4.09	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	23A	1953-06-11		Yes	Bishop	USGS	1.11	9.80				UNSP				MEAS	1		UNSP	QSCMM		9.80		6.05	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	24A	1953-06-23		Yes	Bishop	USGS	1.21	10.1				UNSP				MEAS	1		UNSP	QSCMM		10.1		7.60	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	25A	1953-07-08		Yes	Bishop	USGS	1.12	7.70				UNSP				MEAS	1		UNSP	QSCMM		7.70		6.55	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	26A	1953-07-22		Yes	Bishop	USGS	1.20	9.20				UNSP				MEAS	1		UNSP	QSCMM		9.20		6.90	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	27A	1953-08-05		Yes	Bishop	USGS	1.33	13.0				UNSP				MEAS	1		UNSP	QSCMM		13.0		8.95	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	28A	1953-08-21		Yes	Bishop	USGS	1.33	13.0				UNSP				MEAS	1		UNSP	QSCMM		13.0		8.65	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	29A	1953-09-03		Yes	Bishop	USGS	1.48	16.3				UNSP				MEAS	1		UNSP	QSCMM		16.3		10.2	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	30A	1953-09-16		Yes	Bishop	USGS	1.46	14.6				UNSP				MEAS	1		UNSP	QSCMM		14.6		9.60	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	31A	1953-10-06		Yes	Bishop	USGS	1.24	8.75				UNSP				MEAS	1		UNSP	QSCMM		8.75		7.75	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	32A	1953-11-27		Yes	Bishop	USGS	1.68	21.6				UNSP				MEAS	1		UNSP	QSCMM		21.6		12.8	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	33A	1953-12-18		Yes	Bishop	USGS	1.42	15.6				UNSP				MEAS	1		UNSP	QSCMM		15.6	11.0	9.50	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	34A	1954-01-14		Yes	Bishop	USGS	1.71	22.1				UNSP				MEAS	1		UNSP	QSCMM		22.1	13.0	13.5	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	35A	1954-02-11		Yes	Bishop	USGS	1.67	20.9				UNSP				MEAS	1		UNSP	QSCMM		20.9	11.5	12.6	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	36A	1954-04-06		Yes	Bishop	USGS	1.82	29.6				UNSP				MEAS	1		UNSP	QSCMM		29.6	11.0	14.2	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	37A	1954-04-29		Yes	Bishop	USGS	1.42	13.4				UNSP				MEAS	1		UNSP	QSCMM		13.4	10.0	9.50	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	38A	1954-05-12		Yes	Bishop	USGS	1.66	22.4				UNSP				MEAS	1		UNSP	QSCMM		22.4	11.0	12.2	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	39A	1954-05-18		Yes	Bishop	USGS	1.69	20.6				UNSP				MEAS	1		UNSP	QSCMM		20.6	10.0	12.3	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	40A	1954-06-02		Yes	SMC	USGS	1.30	9.70				UNSP				MEAS	1		UNSP	QSCMM		9.70	10.0	8.20	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	41A	1954-06-15		Yes	SMC	USGS	1.26	7.80				UNSP				MEAS	1		UNSP	QSCMM		7.80	4.00	7.20	1.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	42A	1954-06-22		Yes	SMC	USGS	1.30	8.80				UNSP				MEAS	1		UNSP	QSCMM		8.80	8.00	7.30	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	43A	1954-07-13		Yes	SMC	USGS	1.18	6.80				UNSP				MEAS	1		UNSP	QSCMM		6.80	9.00	6.40	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	44A	1954-07-22		Yes	SMC	USGS	1.12	8.50				UNSP				MEAS	1		UNSP	QSCMM		8.50	8.00	6.00	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	45A	1954-08-06		Yes	SMC	USGS	1.08	8.20				UNSP				MEAS	1		UNSP	QSCMM		8.20	9.00	6.40	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	46A	1954-08-17		Yes	SMC	USGS	1.20	11.6				UNSP				MEAS	1		UNSP	QSCMM		11.6	9.00	7.60	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	47A	1954-08-31		Yes	SMC	USGS	1.04	7.20				UNSP				MEAS	1		UNSP	QSCMM		7.20	8.00	6.00	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	48A	1954-09-14		Yes	SMC	USGS	1.06	8.20				UNSP				MEAS	1		UNSP	QSCMM		8.20	8.00	6.30	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	49A	1954-09-30		Yes	SMC	USGS	1.06	7.00				UNSP				MEAS	1		UNSP	QSCMM		7.00	8.00	6.00	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	50A	1955-05-10		Yes	SMC	USGS	1.18	14.5				UNSP				MEAS	1		UNSP	QSCMM		14.5		7.10	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06454100	51A	1955-05-25		Yes	SMC	USGS	1.08	9.50				UNSP				MEAS	1		UNSP	QSCMM		9.50		6.90	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
