#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:51:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06461500 Niobrara River near Sparks, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06461500	1	1945-11-02		Yes	Lind	USGS	3.32	771				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	771				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	2	1945-12-05		Yes	Holmes	USGS	2.75	949				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	949				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	3	1945-12-12		Yes	Lind	USGS	2.79	564				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	564				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	4	1945-12-19		Yes	Hungate	USGS	3.18	318				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	318				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	5	1946-01-05		Yes	Thorson	USGS	3.90	974				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	974				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	6	1946-01-07		Yes	Lewis	USGS	3.58	912				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	912				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	7	1946-01-08		Yes	Franklin	USGS	3.51	942				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	942				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	8	1946-01-23		Yes	Zellars	USGS	3.31	810				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	810				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	9	1946-01-25		Yes	Franklin	USGS	3.44	987				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	987				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	10	1946-02-08		Yes	HOL	USGS	3.75	1040				UNSP				UNSP	1		UNSP	QSCMM	VELC	1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	11	1946-02-18		Yes	ZEL	USGS	3.52	1110				UNSP				UNSP	1		UNSP	QSCMM	VELC	1110				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06461500	12	1946-02-24		Yes	FRA	USGS	3.04	1040				UNSP				UNSP	1		UNSP	QSCMM	VELC	1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
