#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:51:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06462000 NIOBRARA RIVER NR NORDEN NEBR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06462000	1	1952-08-22 12:00:00	CST	Yes	Hartley	USGS	2.94	692				UNSP				UNSP	1		UNSP			692				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	2	1952-08-25		Yes	Busalacc	USGS	3.02	728				UNSP	0.00			UNSP	1		UNSP	QSCMM		728	109	184		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	3	1952-09-14		Yes	Stevens	USGS	3.09	745				UNSP	0.00			UNSP	1		UNSP	QSCMM		745	88.0	161	4.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	4	1952-09-15		Yes	Steele	USGS	3.14	731				UNSP	0.00			UNSP	1		UNSP	QSCMM		731	109	183	4.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	5	1952-09-18		Yes	Zellars	USGS	3.14	729				UNSP	0.00			UNSP	1		UNSP	QSCMM		729	88.0	173	4.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	6	1952-09-22		Yes	Curtis	USGS	3.11	837				UNSP	0.00			UNSP	1		UNSP	QSCMM		837	89.0	175	4.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	7	1952-09-25		Yes	Chadwick	USGS	2.98	732				UNSP	-0.24			UNSP	1		UNSP	QSCMM		732	88.0	159	4.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	8	1952-10-01		Yes	Zellars	USGS	3.20	758				UNSP	-0.44			UNSP	1		UNSP	QSCMM		758	88.0	158	4.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06462000	9	1952-10-12		Yes	Matejka	USGS	2.94	876				UNSP	-0.08			UNSP	1		UNSP	QSCMM		876	88.0	187	4.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
