#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:52:17 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07237500 North Canadian River at Woodward, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07237500	647	1979-11-05		Yes	DLB	USGS	3.89	168				Unspecified	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	168	71.0	89.1	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	648	1979-12-03		Yes	TEC/DLB	USGS	3.05	36.6				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.6	50.0	35.6	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	649	1980-01-09		Yes	DLB	USGS	3.31	64.3				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.3	70.0	53.3	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	650	1980-02-15		Yes	DLB	USGS	3.32	63.0				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	63.0	71.0	62.2	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	651	1980-04-01		Yes	DLB	USGS	3.48	101				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	101	58.0	67.8	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	652	1980-04-21		Yes	TEC	USGS	3.65	121				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	66.0	75.4	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	653	1980-05-21		Yes	DLB/TEC	USGS	4.67	295				Unspecified	0.00	0.50	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	295	79.0	157	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	654	1980-06-05		Yes	DLB/TEC	USGS	8.80	1630				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1630	342	973	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07237500	655	1980-06-23		Yes	TEC/DLB	USGS	4.57	265				Unspecified				UNSP	1	Imported Channel 1	WADE	unspe	unkno	265	71.0	145	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
